,target,source,targ_word,src_word,alternatives,analogy_type
0,student,students,month,months,,I01 [noun - plural_reg]
1,student,students,customer,customers,,I01 [noun - plural_reg]
2,friend,friends,language,languages,,I01 [noun - plural_reg]
3,friend,friends,idea,ideas,,I01 [noun - plural_reg]
4,car,cars,website,websites,,I01 [noun - plural_reg]
5,car,cars,death,deaths,,I01 [noun - plural_reg]
6,solution,solutions,version,versions,,I01 [noun - plural_reg]
7,solution,solutions,album,albums,,I01 [noun - plural_reg]
8,month,months,player,players,,I01 [noun - plural_reg]
9,month,months,member,members,,I01 [noun - plural_reg]
10,day,days,language,languages,,I01 [noun - plural_reg]
11,day,days,car,cars,,I01 [noun - plural_reg]
12,example,examples,example,examples,,I01 [noun - plural_reg]
13,example,examples,student,students,,I01 [noun - plural_reg]
14,hour,hours,player,players,,I01 [noun - plural_reg]
15,hour,hours,river,rivers,,I01 [noun - plural_reg]
16,period,periods,college,colleges,,I01 [noun - plural_reg]
17,period,periods,player,players,,I01 [noun - plural_reg]
18,night,nights,development,developments,,I01 [noun - plural_reg]
19,night,nights,customer,customers,,I01 [noun - plural_reg]
20,customer,customers,album,albums,,I01 [noun - plural_reg]
21,customer,customers,player,players,,I01 [noun - plural_reg]
22,god,gods,office,offices,,I01 [noun - plural_reg]
23,god,gods,solution,solutions,,I01 [noun - plural_reg]
24,song,songs,student,students,,I01 [noun - plural_reg]
25,song,songs,difference,differences,,I01 [noun - plural_reg]
26,event,events,council,councils,,I01 [noun - plural_reg]
27,event,events,event,events,,I01 [noun - plural_reg]
28,law,laws,event,events,,I01 [noun - plural_reg]
29,law,laws,thing,things,,I01 [noun - plural_reg]
30,player,players,version,versions,,I01 [noun - plural_reg]
31,player,players,language,languages,,I01 [noun - plural_reg]
32,river,rivers,period,periods,,I01 [noun - plural_reg]
33,river,rivers,idea,ideas,,I01 [noun - plural_reg]
34,thing,things,area,areas,,I01 [noun - plural_reg]
35,thing,things,role,roles,,I01 [noun - plural_reg]
36,difference,differences,problem,problems,,I01 [noun - plural_reg]
37,difference,differences,fact,facts,,I01 [noun - plural_reg]
38,user,users,area,areas,,I01 [noun - plural_reg]
39,user,users,role,roles,,I01 [noun - plural_reg]
40,director,directors,river,rivers,,I01 [noun - plural_reg]
41,director,directors,example,examples,,I01 [noun - plural_reg]
42,product,products,application,applications,,I01 [noun - plural_reg]
43,product,products,council,councils,,I01 [noun - plural_reg]
44,town,towns,department,departments,,I01 [noun - plural_reg]
45,town,towns,town,towns,,I01 [noun - plural_reg]
46,street,streets,album,albums,,I01 [noun - plural_reg]
47,street,streets,day,days,,I01 [noun - plural_reg]
48,office,offices,example,examples,,I01 [noun - plural_reg]
49,office,offices,application,applications,,I01 [noun - plural_reg]
50,role,roles,hour,hours,,I01 [noun - plural_reg]
51,role,roles,day,days,,I01 [noun - plural_reg]
52,population,populations,period,periods,,I01 [noun - plural_reg]
53,population,populations,thing,things,,I01 [noun - plural_reg]
54,council,councils,resource,resources,,I01 [noun - plural_reg]
55,council,councils,year,years,,I01 [noun - plural_reg]
56,resource,resources,system,systems,,I01 [noun - plural_reg]
57,resource,resources,god,gods,,I01 [noun - plural_reg]
58,language,languages,player,players,,I01 [noun - plural_reg]
59,language,languages,night,nights,,I01 [noun - plural_reg]
60,science,sciences,difference,differences,,I01 [noun - plural_reg]
61,science,sciences,department,departments,,I01 [noun - plural_reg]
62,week,weeks,player,players,,I01 [noun - plural_reg]
63,week,weeks,language,languages,,I01 [noun - plural_reg]
64,problem,problems,science,sciences,,I01 [noun - plural_reg]
65,problem,problems,village,villages,,I01 [noun - plural_reg]
66,death,deaths,student,students,,I01 [noun - plural_reg]
67,death,deaths,council,councils,,I01 [noun - plural_reg]
68,website,websites,development,developments,,I01 [noun - plural_reg]
69,website,websites,year,years,,I01 [noun - plural_reg]
70,government,governments,town,towns,,I01 [noun - plural_reg]
71,government,governments,user,users,,I01 [noun - plural_reg]
72,album,albums,role,roles,,I01 [noun - plural_reg]
73,album,albums,problem,problems,,I01 [noun - plural_reg]
74,idea,ideas,college,colleges,,I01 [noun - plural_reg]
75,idea,ideas,night,nights,,I01 [noun - plural_reg]
76,college,colleges,role,roles,,I01 [noun - plural_reg]
77,college,colleges,event,events,,I01 [noun - plural_reg]
78,department,departments,album,albums,,I01 [noun - plural_reg]
79,department,departments,road,roads,,I01 [noun - plural_reg]
80,development,developments,office,offices,,I01 [noun - plural_reg]
81,development,developments,member,members,,I01 [noun - plural_reg]
82,road,roads,month,months,,I01 [noun - plural_reg]
83,road,roads,resource,resources,,I01 [noun - plural_reg]
84,area,areas,week,weeks,,I01 [noun - plural_reg]
85,area,areas,example,examples,,I01 [noun - plural_reg]
86,system,systems,town,towns,,I01 [noun - plural_reg]
87,system,systems,car,cars,,I01 [noun - plural_reg]
88,member,members,town,towns,,I01 [noun - plural_reg]
89,member,members,thing,things,,I01 [noun - plural_reg]
90,version,versions,student,students,,I01 [noun - plural_reg]
91,version,versions,week,weeks,,I01 [noun - plural_reg]
92,year,years,college,colleges,,I01 [noun - plural_reg]
93,year,years,science,sciences,,I01 [noun - plural_reg]
94,application,applications,law,laws,,I01 [noun - plural_reg]
95,application,applications,area,areas,,I01 [noun - plural_reg]
96,fact,facts,office,offices,,I01 [noun - plural_reg]
97,fact,facts,friend,friends,,I01 [noun - plural_reg]
98,village,villages,road,roads,,I01 [noun - plural_reg]
99,village,villages,system,systems,,I01 [noun - plural_reg]
100,policy,policies,duty,duties,,I02 [noun - plural_irreg]
101,policy,policies,variety,varieties,,I02 [noun - plural_irreg]
102,strategy,strategies,category,categories,,I02 [noun - plural_irreg]
103,strategy,strategies,variety,varieties,,I02 [noun - plural_irreg]
104,success,successes,city,cities,,I02 [noun - plural_irreg]
105,success,successes,business,businesses,,I02 [noun - plural_irreg]
106,basis,bases,facility,facilities,,I02 [noun - plural_irreg]
107,basis,bases,academy,academies,,I02 [noun - plural_irreg]
108,analysis,analyses,majority,majorities,,I02 [noun - plural_irreg]
109,analysis,analyses,entry,entries,,I02 [noun - plural_irreg]
110,duty,duties,technology,technologies,,I02 [noun - plural_irreg]
111,duty,duties,academy,academies,,I02 [noun - plural_irreg]
112,family,families,variety,varieties,,I02 [noun - plural_irreg]
113,family,families,strategy,strategies,,I02 [noun - plural_irreg]
114,community,communities,county,counties,,I02 [noun - plural_irreg]
115,community,communities,duty,duties,,I02 [noun - plural_irreg]
116,university,universities,woman,women,,I02 [noun - plural_irreg]
117,university,universities,business,businesses,,I02 [noun - plural_irreg]
118,security,securities,secretary,secretaries,,I02 [noun - plural_irreg]
119,security,securities,century,centuries,,I02 [noun - plural_irreg]
120,formula,formulae,century,centuries,,I02 [noun - plural_irreg]
121,formula,formulae,theory,theories,,I02 [noun - plural_irreg]
122,wife,wives,library,libraries,,I02 [noun - plural_irreg]
123,wife,wives,ability,abilities,,I02 [noun - plural_irreg]
124,country,countries,majority,majorities,,I02 [noun - plural_irreg]
125,country,countries,entry,entries,,I02 [noun - plural_irreg]
126,majority,majorities,entry,entries,,I02 [noun - plural_irreg]
127,majority,majorities,city,cities,,I02 [noun - plural_irreg]
128,energy,energies,life,lives,,I02 [noun - plural_irreg]
129,energy,energies,policy,policies,,I02 [noun - plural_irreg]
130,datum,data,business,businesses,,I02 [noun - plural_irreg]
131,datum,data,secretary,secretaries,,I02 [noun - plural_irreg]
132,history,histories,agency,agencies,,I02 [noun - plural_irreg]
133,history,histories,child,children,,I02 [noun - plural_irreg]
134,opportunity,opportunities,security,securities,,I02 [noun - plural_irreg]
135,opportunity,opportunities,agency,agencies,,I02 [noun - plural_irreg]
136,county,counties,army,armies,,I02 [noun - plural_irreg]
137,county,counties,memory,memories,,I02 [noun - plural_irreg]
138,technology,technologies,industry,industries,,I02 [noun - plural_irreg]
139,technology,technologies,woman,women,,I02 [noun - plural_irreg]
140,theory,theories,security,securities,,I02 [noun - plural_irreg]
141,theory,theories,duty,duties,,I02 [noun - plural_irreg]
142,authority,authorities,academy,academies,,I02 [noun - plural_irreg]
143,authority,authorities,history,histories,,I02 [noun - plural_irreg]
144,property,properties,society,societies,,I02 [noun - plural_irreg]
145,property,properties,responsibility,responsibilities,,I02 [noun - plural_irreg]
146,story,stories,technology,technologies,,I02 [noun - plural_irreg]
147,story,stories,century,centuries,,I02 [noun - plural_irreg]
148,economy,economies,county,counties,,I02 [noun - plural_irreg]
149,economy,economies,child,children,,I02 [noun - plural_irreg]
150,entry,entries,safety,safeties,,I02 [noun - plural_irreg]
151,entry,entries,university,universities,,I02 [noun - plural_irreg]
152,century,centuries,responsibility,responsibilities,,I02 [noun - plural_irreg]
153,century,centuries,policy,policies,,I02 [noun - plural_irreg]
154,agency,agencies,century,centuries,,I02 [noun - plural_irreg]
155,agency,agencies,life,lives,,I02 [noun - plural_irreg]
156,child,children,ability,abilities,,I02 [noun - plural_irreg]
157,child,children,life,lives,,I02 [noun - plural_irreg]
158,facility,facilities,facility,facilities,,I02 [noun - plural_irreg]
159,facility,facilities,story,stories,,I02 [noun - plural_irreg]
160,loss,losses,basis,bases,,I02 [noun - plural_irreg]
161,loss,losses,facility,facilities,,I02 [noun - plural_irreg]
162,safety,safeties,child,children,,I02 [noun - plural_irreg]
163,safety,safeties,society,societies,,I02 [noun - plural_irreg]
164,activity,activities,community,communities,,I02 [noun - plural_irreg]
165,activity,activities,responsibility,responsibilities,,I02 [noun - plural_irreg]
166,memory,memories,responsibility,responsibilities,,I02 [noun - plural_irreg]
167,memory,memories,security,securities,,I02 [noun - plural_irreg]
168,secretary,secretaries,property,properties,,I02 [noun - plural_irreg]
169,secretary,secretaries,memory,memories,,I02 [noun - plural_irreg]
170,variety,varieties,century,centuries,,I02 [noun - plural_irreg]
171,variety,varieties,industry,industries,,I02 [noun - plural_irreg]
172,academy,academies,policy,policies,,I02 [noun - plural_irreg]
173,academy,academies,agency,agencies,,I02 [noun - plural_irreg]
174,library,libraries,variety,varieties,,I02 [noun - plural_irreg]
175,library,libraries,economy,economies,,I02 [noun - plural_irreg]
176,ability,abilities,opportunity,opportunities,,I02 [noun - plural_irreg]
177,ability,abilities,library,libraries,,I02 [noun - plural_irreg]
178,city,cities,army,armies,,I02 [noun - plural_irreg]
179,city,cities,economy,economies,,I02 [noun - plural_irreg]
180,responsibility,responsibilities,safety,safeties,,I02 [noun - plural_irreg]
181,responsibility,responsibilities,city,cities,,I02 [noun - plural_irreg]
182,life,lives,child,children,,I02 [noun - plural_irreg]
183,life,lives,analysis,analyses,,I02 [noun - plural_irreg]
184,army,armies,family,families,,I02 [noun - plural_irreg]
185,army,armies,datum,data,,I02 [noun - plural_irreg]
186,business,businesses,duty,duties,,I02 [noun - plural_irreg]
187,business,businesses,analysis,analyses,,I02 [noun - plural_irreg]
188,society,societies,economy,economies,,I02 [noun - plural_irreg]
189,society,societies,variety,varieties,,I02 [noun - plural_irreg]
190,industry,industries,army,armies,,I02 [noun - plural_irreg]
191,industry,industries,city,cities,,I02 [noun - plural_irreg]
192,woman,women,majority,majorities,,I02 [noun - plural_irreg]
193,woman,women,woman,women,,I02 [noun - plural_irreg]
194,category,categories,century,centuries,,I02 [noun - plural_irreg]
195,category,categories,authority,authorities,,I02 [noun - plural_irreg]
196,sticky,stickier,tricky,trickier,,I03 [adj - comparative]
197,sticky,stickier,nice,nicer,,I03 [adj - comparative]
198,strict,stricter,tiny,tinier,,I03 [adj - comparative]
199,strict,stricter,strong,stronger,,I03 [adj - comparative]
200,wealthy,wealthier,tiny,tinier,,I03 [adj - comparative]
201,wealthy,wealthier,huge,huger,,I03 [adj - comparative]
202,lazy,lazier,weak,weaker,,I03 [adj - comparative]
203,lazy,lazier,rocky,rockier,,I03 [adj - comparative]
204,angry,angrier,proud,prouder,,I03 [adj - comparative]
205,angry,angrier,clever,cleverer,,I03 [adj - comparative]
206,scary,scarier,rude,ruder,,I03 [adj - comparative]
207,scary,scarier,noisy,noisier,,I03 [adj - comparative]
208,cute,cuter,rocky,rockier,,I03 [adj - comparative]
209,cute,cuter,dense,denser,,I03 [adj - comparative]
210,coarse,coarser,hungry,hungrier,,I03 [adj - comparative]
211,coarse,coarser,pure,purer,,I03 [adj - comparative]
212,weird,weirder,strict,stricter,,I03 [adj - comparative]
213,weird,weirder,clever,cleverer,,I03 [adj - comparative]
214,cheap,cheaper,weak,weaker,,I03 [adj - comparative]
215,cheap,cheaper,clever,cleverer,,I03 [adj - comparative]
216,sexy,sexier,vague,vaguer,,I03 [adj - comparative]
217,sexy,sexier,subtle,subtler,,I03 [adj - comparative]
218,vast,vaster,dumb,dumber,,I03 [adj - comparative]
219,vast,vaster,happy,happier,,I03 [adj - comparative]
220,clever,cleverer,weird,weirder,,I03 [adj - comparative]
