,target,source,targ_word,src_word,alternatives,analogy_type
0,student,students,friend,friends,,I01 [noun - plural_reg]
1,friend,friends,car,cars,,I01 [noun - plural_reg]
2,car,cars,solution,solutions,,I01 [noun - plural_reg]
3,solution,solutions,month,months,,I01 [noun - plural_reg]
4,month,months,day,days,,I01 [noun - plural_reg]
5,day,days,example,examples,,I01 [noun - plural_reg]
6,example,examples,hour,hours,,I01 [noun - plural_reg]
7,hour,hours,period,periods,,I01 [noun - plural_reg]
8,period,periods,night,nights,,I01 [noun - plural_reg]
9,night,nights,customer,customers,,I01 [noun - plural_reg]
10,customer,customers,god,gods,,I01 [noun - plural_reg]
11,god,gods,song,songs,,I01 [noun - plural_reg]
12,song,songs,event,events,,I01 [noun - plural_reg]
13,event,events,law,laws,,I01 [noun - plural_reg]
14,law,laws,player,players,,I01 [noun - plural_reg]
15,player,players,river,rivers,,I01 [noun - plural_reg]
16,river,rivers,thing,things,,I01 [noun - plural_reg]
17,thing,things,difference,differences,,I01 [noun - plural_reg]
18,difference,differences,user,users,,I01 [noun - plural_reg]
19,user,users,director,directors,,I01 [noun - plural_reg]
20,director,directors,product,products,,I01 [noun - plural_reg]
21,product,products,town,towns,,I01 [noun - plural_reg]
22,town,towns,street,streets,,I01 [noun - plural_reg]
23,street,streets,office,offices,,I01 [noun - plural_reg]
24,office,offices,role,roles,,I01 [noun - plural_reg]
25,role,roles,population,populations,,I01 [noun - plural_reg]
26,population,populations,council,councils,,I01 [noun - plural_reg]
27,council,councils,resource,resources,,I01 [noun - plural_reg]
28,resource,resources,language,languages,,I01 [noun - plural_reg]
29,language,languages,science,sciences,,I01 [noun - plural_reg]
30,science,sciences,week,weeks,,I01 [noun - plural_reg]
31,week,weeks,problem,problems,,I01 [noun - plural_reg]
32,problem,problems,death,deaths,,I01 [noun - plural_reg]
33,death,deaths,website,websites,,I01 [noun - plural_reg]
34,website,websites,government,governments,,I01 [noun - plural_reg]
35,government,governments,album,albums,,I01 [noun - plural_reg]
36,album,albums,idea,ideas,,I01 [noun - plural_reg]
37,idea,ideas,college,colleges,,I01 [noun - plural_reg]
38,college,colleges,department,departments,,I01 [noun - plural_reg]
39,department,departments,development,developments,,I01 [noun - plural_reg]
40,development,developments,road,roads,,I01 [noun - plural_reg]
41,road,roads,area,areas,,I01 [noun - plural_reg]
42,area,areas,system,systems,,I01 [noun - plural_reg]
43,system,systems,member,members,,I01 [noun - plural_reg]
44,member,members,version,versions,,I01 [noun - plural_reg]
45,version,versions,year,years,,I01 [noun - plural_reg]
46,year,years,application,applications,,I01 [noun - plural_reg]
47,application,applications,fact,facts,,I01 [noun - plural_reg]
48,fact,facts,village,villages,,I01 [noun - plural_reg]
49,policy,policies,strategy,strategies,,I02 [noun - plural_irreg]
50,strategy,strategies,success,successes,,I02 [noun - plural_irreg]
51,success,successes,basis,bases,,I02 [noun - plural_irreg]
52,basis,bases,analysis,analyses,,I02 [noun - plural_irreg]
53,analysis,analyses,duty,duties,,I02 [noun - plural_irreg]
54,duty,duties,family,families,,I02 [noun - plural_irreg]
55,family,families,community,communities,,I02 [noun - plural_irreg]
56,community,communities,university,universities,,I02 [noun - plural_irreg]
57,university,universities,security,securities,,I02 [noun - plural_irreg]
58,security,securities,formula,formulae,,I02 [noun - plural_irreg]
59,formula,formulae,wife,wives,,I02 [noun - plural_irreg]
60,wife,wives,country,countries,,I02 [noun - plural_irreg]
61,country,countries,majority,majorities,,I02 [noun - plural_irreg]
62,majority,majorities,energy,energies,,I02 [noun - plural_irreg]
63,energy,energies,datum,data,,I02 [noun - plural_irreg]
64,datum,data,history,histories,,I02 [noun - plural_irreg]
65,history,histories,opportunity,opportunities,,I02 [noun - plural_irreg]
66,opportunity,opportunities,county,counties,,I02 [noun - plural_irreg]
67,county,counties,technology,technologies,,I02 [noun - plural_irreg]
68,technology,technologies,theory,theories,,I02 [noun - plural_irreg]
69,theory,theories,authority,authorities,,I02 [noun - plural_irreg]
70,authority,authorities,property,properties,,I02 [noun - plural_irreg]
71,property,properties,story,stories,,I02 [noun - plural_irreg]
72,story,stories,economy,economies,,I02 [noun - plural_irreg]
73,economy,economies,entry,entries,,I02 [noun - plural_irreg]
74,entry,entries,century,centuries,,I02 [noun - plural_irreg]
75,century,centuries,agency,agencies,,I02 [noun - plural_irreg]
76,agency,agencies,child,children,,I02 [noun - plural_irreg]
77,child,children,facility,facilities,,I02 [noun - plural_irreg]
78,facility,facilities,loss,losses,,I02 [noun - plural_irreg]
79,loss,losses,safety,safeties,,I02 [noun - plural_irreg]
80,safety,safeties,activity,activities,,I02 [noun - plural_irreg]
81,activity,activities,memory,memories,,I02 [noun - plural_irreg]
82,memory,memories,secretary,secretaries,,I02 [noun - plural_irreg]
83,secretary,secretaries,variety,varieties,,I02 [noun - plural_irreg]
84,variety,varieties,academy,academies,,I02 [noun - plural_irreg]
85,academy,academies,library,libraries,,I02 [noun - plural_irreg]
86,library,libraries,ability,abilities,,I02 [noun - plural_irreg]
87,ability,abilities,city,cities,,I02 [noun - plural_irreg]
88,city,cities,responsibility,responsibilities,,I02 [noun - plural_irreg]
89,responsibility,responsibilities,life,lives,,I02 [noun - plural_irreg]
90,life,lives,army,armies,,I02 [noun - plural_irreg]
91,army,armies,business,businesses,,I02 [noun - plural_irreg]
92,business,businesses,society,societies,,I02 [noun - plural_irreg]
93,society,societies,industry,industries,,I02 [noun - plural_irreg]
94,industry,industries,woman,women,,I02 [noun - plural_irreg]
95,woman,women,category,categories,,I02 [noun - plural_irreg]
96,sticky,stickier,strict,stricter,,I03 [adj - comparative]
97,strict,stricter,wealthy,wealthier,,I03 [adj - comparative]
98,wealthy,wealthier,lazy,lazier,,I03 [adj - comparative]
99,lazy,lazier,angry,angrier,,I03 [adj - comparative]
100,angry,angrier,scary,scarier,,I03 [adj - comparative]
101,scary,scarier,cute,cuter,,I03 [adj - comparative]
102,cute,cuter,coarse,coarser,,I03 [adj - comparative]
103,coarse,coarser,weird,weirder,,I03 [adj - comparative]
104,weird,weirder,cheap,cheaper,,I03 [adj - comparative]
105,cheap,cheaper,sexy,sexier,,I03 [adj - comparative]
106,sexy,sexier,vast,vaster,,I03 [adj - comparative]
107,vast,vaster,clever,cleverer,,I03 [adj - comparative]
108,clever,cleverer,healthy,healthier,,I03 [adj - comparative]
109,healthy,healthier,ugly,uglier,,I03 [adj - comparative]
110,ugly,uglier,dumb,dumber,,I03 [adj - comparative]
111,dumb,dumber,lucky,luckier,,I03 [adj - comparative]
112,lucky,luckier,pure,purer,,I03 [adj - comparative]
113,pure,purer,huge,huger,,I03 [adj - comparative]
114,huge,huger,risky,riskier,,I03 [adj - comparative]
115,risky,riskier,handy,handier,,I03 [adj - comparative]
116,handy,handier,costly,costlier,,I03 [adj - comparative]
117,costly,costlier,subtle,subtler,,I03 [adj - comparative]
118,subtle,subtler,vague,vaguer,,I03 [adj - comparative]
119,vague,vaguer,moist,moister,,I03 [adj - comparative]
120,moist,moister,dense,denser,,I03 [adj - comparative]
121,dense,denser,lengthy,lengthier,,I03 [adj - comparative]
122,lengthy,lengthier,hungry,hungrier,,I03 [adj - comparative]
123,hungry,hungrier,mad,madder,,I03 [adj - comparative]
