,target,source,targ_word,src_word,alternatives,analogy_type
0,c d e f,c d e g,d d x x e e x x f f x x g g x x,d d x x e e x x f f x x h h x x,,letter_analogy_2gen_split5
1,s t u v,r t u v,k k l l m m n n o o p p q q r r,j j l l m m n n o o p p q q r r,,letter_analogy_2gen_split5
2,n q p o r,n o p q r,19 0 20 0 23 0 22 0 21 0,19 0 20 0 21 0 22 0 23 0,,letter_analogy_2gen_split5
3,k l m n,k l m n o,t t s s r r q q,t t s s r r q q p p,,letter_analogy_2gen_split5
4,n o p q,n o p q r,15 0 16 0 17 0 18 0,15 0 16 0 17 0 18 0 19 0,,letter_analogy_2gen_split5
5,y u v w x,t u v w x,r x q x p x o x v x,r x q x p x o x n x,,letter_analogy_2gen_split5
6,c d e f,c d e f g,5 0 6 0 7 0 8 0,5 0 6 0 7 0 8 0 9 0,,letter_analogy_2gen_split5
7,o p q r,n p q r,l l n n p p r r,j j n n p p r r,,letter_analogy_2gen_split5
8,j g h i f,f g h i j,14 14 11 11 12 12 13 13 10 10,10 10 11 11 12 12 13 13 14 14,,letter_analogy_2gen_split5
9,t t u v w x,t u v w x,i i h h g g f f e e e e,i i h h g g f f e e,,letter_analogy_2gen_split5
10,b c d e,a c d e,o o p p q q r r s s t t u u v v,n n p p q q r r s s t t u u v v,,letter_analogy_2gen_split5
11,n o p q f,n o p q r,e e d d t t b b a a,e e d d c c b b a a,,letter_analogy_2gen_split5
12,c d e f,c d e f g,j l n p r t v x,j l n p r t v x z,,letter_analogy_2gen_split5
13,d e f g y,d e f g h,i x k x m x s x q x,i x k x m x o x q x,,letter_analogy_2gen_split5
14,m m n o p q,m n o p q,4 4 4 4 5 5 6 6 7 7 8 8,4 4 5 5 6 6 7 7 8 8,,letter_analogy_2gen_split5
15,h o p q r,n o p q r,g g h h z z j j k k l l m m n n o o,g g h h i i j j k k l l m m n n o o,,letter_analogy_2gen_split5
16,b c d e,b c d e f,8 8 9 9 10 10 11 11,8 8 9 9 10 10 11 11 12 12,,letter_analogy_2gen_split5
17,q r r s t u,q r s t u,15 15 16 16 17 17 18 18 18 18 19 19,15 15 16 16 17 17 18 18 19 19,,letter_analogy_2gen_split5
18,u v w x,u v w x y,k x m x o x q x,k x m x o x q x s x,,letter_analogy_2gen_split5
19,k n m l o,k l m n o,p x s x r x q x t x,t x s x r x q x p x,,letter_analogy_2gen_split5
20,o p q r,o p q s,m l k j i h g f,m l k j i h g e,,letter_analogy_2gen_split5
21,q r s t,q r s u,r r x x s s x x t t x x u u x x,r r x x s s x x t t x x v v x x,,letter_analogy_2gen_split5
22,i j k l q,i j k l m,e x d x c x b x i x,e x d x c x b x a x,,letter_analogy_2gen_split5
23,n n o p q r,n o p q r,r p n l j j,r p n l j,,letter_analogy_2gen_split5
24,m n o p,m n o p q,2 0 3 0 4 0 5 0,2 0 3 0 4 0 5 0 6 0,,letter_analogy_2gen_split5
25,k e m n o,k l m n o,1 1 2 2 3 3 4 4 22 22,1 1 2 2 3 3 4 4 5 5,,letter_analogy_2gen_split5
26,a b c d,a b c d e,4 5 6 7 8 9 10 11,4 5 6 7 8 9 10 11 12,,letter_analogy_2gen_split5
27,n o p q,n o p q r,j j x x k k x x l l x x m m x x,j j x x k k x x l l x x m m x x n n x x,,letter_analogy_2gen_split5
28,n o p q,m o p q,m k i g,o k i g,,letter_analogy_2gen_split5
29,u v w x,u v w x y,10 12 14 16,10 12 14 16 18,,letter_analogy_2gen_split5
30,l m n o,l m n o p,15 15 16 16 17 17 18 18,15 15 16 16 17 17 18 18 19 19,,letter_analogy_2gen_split5
31,q r s s t u,q r s t u,q o m m k i,q o m k i,,letter_analogy_2gen_split5
32,e f h g i,e f g h i,b x f x d x h x j x,b x d x f x h x j x,,letter_analogy_2gen_split5
33,d e f g,c e f g,19 0 20 0 21 0 22 0,18 0 20 0 21 0 22 0,,letter_analogy_2gen_split5
34,g h i j,f h i j,n n o o p p q q r r s s t t u u,m m o o p p q q r r s s t t u u,,letter_analogy_2gen_split5
35,s t u v,s t u v w,9 9 10 10 11 11 12 12,9 9 10 10 11 11 12 12 13 13,,letter_analogy_2gen_split5
36,n o o p q r,n o p q r,6 7 8 9 10 11 12 13 14 14,6 7 8 9 10 11 12 13 14,,letter_analogy_2gen_split5
37,v w x y,v w x z,15 17 19 21,15 17 19 23,,letter_analogy_2gen_split5
38,h i j l k,h i j k l,25 0 23 0 24 0 22 0 26 0,22 0 23 0 24 0 25 0 26 0,,letter_analogy_2gen_split5
39,o l q r s,o p q r s,r q p o n m u k j,r q p o n m l k j,,letter_analogy_2gen_split5
40,t v u w x,t u v w x,h x n x j x k x l x m x i x o x p x,h x i x j x k x l x m x n x o x p x,,letter_analogy_2gen_split5
41,j k l m,j k l m n,q x r x s x t x u x v x w x x x,q x r x s x t x u x v x w x x x y x,,letter_analogy_2gen_split5
42,m n o p,m n o q,8 10 12 14,8 10 12 16,,letter_analogy_2gen_split5
