,target,source,targ_word,src_word,alternatives,analogy_type
0,b c d e,b c d e f,j k l m,j k l m n,,letter_analogy_add_letter
1,s t u v,s t u v w,q r s t,q r s t u,,letter_analogy_add_letter
2,u v w x,u v w x y,g h i j,g h i j k,,letter_analogy_add_letter
3,e f g h,e f g h i,k l m n,k l m n o,,letter_analogy_add_letter
4,n o p q,n o p q r,o p q r,o p q r s,,letter_analogy_add_letter
5,j k l m,j k l m n,e f g h,e f g h i,,letter_analogy_add_letter
6,m n o p,m n o p q,h i j k,h i j k l,,letter_analogy_add_letter
7,h i j k,h i j k l,u v w x,u v w x y,,letter_analogy_add_letter
8,i j k l,i j k l m,p q r s,p q r s t,,letter_analogy_add_letter
9,q r s t,q r s t u,a b c d,a b c d e,,letter_analogy_add_letter
10,d e f g,d e f g h,h i j k,h i j k l,,letter_analogy_add_letter
11,e f g h,e f g h i,i j k l,i j k l m,,letter_analogy_add_letter
12,v w x y,v w x y z,s t u v,s t u v w,,letter_analogy_add_letter
13,o p q r,o p q r s,p q r s,p q r s t,,letter_analogy_add_letter
14,f g h i,f g h i j,c d e f,c d e f g,,letter_analogy_add_letter
15,s t u v,s t u v w,g h i j,g h i j k,,letter_analogy_add_letter
16,a b c d,a b c d e,p q r s,p q r s t,,letter_analogy_add_letter
17,q r s t,q r s t u,m n o p,m n o p q,,letter_analogy_add_letter
18,n o p q,n o p q r,m n o p,m n o p q,,letter_analogy_add_letter
19,u v w x,u v w x y,h i j k,h i j k l,,letter_analogy_add_letter
20,s t u v,s t u v w,n o p q,n o p q r,,letter_analogy_add_letter
21,r s t u,r s t u v,f g h i,f g h i j,,letter_analogy_add_letter
22,k l m n,k l m n o,f g h i,f g h i j,,letter_analogy_add_letter
23,c d e f,c d e f g,m n o p,m n o p q,,letter_analogy_add_letter
24,t u v w,t u v w x,b c d e,b c d e f,,letter_analogy_add_letter
25,s t u v,s t u v w,b c d e,b c d e f,,letter_analogy_add_letter
26,a b c d,a b c d e,b c d e,b c d e f,,letter_analogy_add_letter
27,o p q r,o p q r s,f g h i,f g h i j,,letter_analogy_add_letter
28,k l m n,k l m n o,o p q r,o p q r s,,letter_analogy_add_letter
29,l m n o,l m n o p,t u v w,t u v w x,,letter_analogy_add_letter
30,n o p q,n o p q r,i j k l,i j k l m,,letter_analogy_add_letter
31,p q r s,p q r s t,q r s t,q r s t u,,letter_analogy_add_letter
32,e f g h,e f g h i,b c d e,b c d e f,,letter_analogy_add_letter
33,l m n o,l m n o p,d e f g,d e f g h,,letter_analogy_add_letter
34,j k l m,j k l m n,c d e f,c d e f g,,letter_analogy_add_letter
35,g h i j,g h i j k,r s t u,r s t u v,,letter_analogy_add_letter
