,target,source,targ_word,src_word,alternatives,analogy_type
0,i j k l u,i j k l m,k l m n i,k l m n o,,letter_analogy_fix_alphabet
1,a b c y e,a b c d e,a p q r s,o p q r s,,letter_analogy_fix_alphabet
2,x h i j k,g h i j k,r s b u v,r s t u v,,letter_analogy_fix_alphabet
3,s t u v m,s t u v w,b c t e f,b c d e f,,letter_analogy_fix_alphabet
4,q y s t u,q r s t u,o p q w s,o p q r s,,letter_analogy_fix_alphabet
5,h b j k l,h i j k l,r s t m v,r s t u v,,letter_analogy_fix_alphabet
6,c d e f a,c d e f g,s l m n o,k l m n o,,letter_analogy_fix_alphabet
7,z n o p q,m n o p q,e f k h i,e f g h i,,letter_analogy_fix_alphabet
8,r s n u v,r s t u v,j k l m g,j k l m n,,letter_analogy_fix_alphabet
9,i j k l g,i j k l m,p q r f t,p q r s t,,letter_analogy_fix_alphabet
10,s q u v w,s t u v w,p y r s t,p q r s t,,letter_analogy_fix_alphabet
11,b c d a f,b c d e f,n k p q r,n o p q r,,letter_analogy_fix_alphabet
12,f g r i j,f g h i j,p l m n o,k l m n o,,letter_analogy_fix_alphabet
13,i j k n m,i j k l m,s t r v w,s t u v w,,letter_analogy_fix_alphabet
14,p q r l t,p q r s t,m w x y z,v w x y z,,letter_analogy_fix_alphabet
15,b c d p f,b c d e f,j u l m n,j k l m n,,letter_analogy_fix_alphabet
16,v w i y z,v w x y z,u v j x y,u v w x y,,letter_analogy_fix_alphabet
17,g h t j k,g h i j k,u v k x y,u v w x y,,letter_analogy_fix_alphabet
18,s i j k l,h i j k l,f w x y z,v w x y z,,letter_analogy_fix_alphabet
19,n o a q r,n o p q r,j k l c n,j k l m n,,letter_analogy_fix_alphabet
20,l m n o y,l m n o p,d e f g m,d e f g h,,letter_analogy_fix_alphabet
21,a l m n o,k l m n o,b c m e f,b c d e f,,letter_analogy_fix_alphabet
22,p l r s t,p q r s t,e z g h i,e f g h i,,letter_analogy_fix_alphabet
23,g h v j k,g h i j k,l m n o v,l m n o p,,letter_analogy_fix_alphabet
24,l m f o p,l m n o p,t u v z x,t u v w x,,letter_analogy_fix_alphabet
25,v w x g z,v w x y z,d e n g h,d e f g h,,letter_analogy_fix_alphabet
26,a k c d e,a b c d e,m n o p c,m n o p q,,letter_analogy_fix_alphabet
27,p q r d t,p q r s t,b t d e f,b c d e f,,letter_analogy_fix_alphabet
28,s t n v w,s t u v w,h i j k z,h i j k l,,letter_analogy_fix_alphabet
29,f g h i p,f g h i j,a b c d q,a b c d e,,letter_analogy_fix_alphabet
30,g h o j k,g h i j k,s t u v r,s t u v w,,letter_analogy_fix_alphabet
31,t y v w x,t u v w x,e p q r s,o p q r s,,letter_analogy_fix_alphabet
32,d e t g h,d e f g h,f g h n j,f g h i j,,letter_analogy_fix_alphabet
33,p q k s t,p q r s t,m n o i q,m n o p q,,letter_analogy_fix_alphabet
34,q r k t u,q r s t u,j k g m n,j k l m n,,letter_analogy_fix_alphabet
35,c p e f g,c d e f g,v i x y z,v w x y z,,letter_analogy_fix_alphabet
36,e f g z i,e f g h i,l v n o p,l m n o p,,letter_analogy_fix_alphabet
37,e t u v w,s t u v w,e f g n i,e f g h i,,letter_analogy_fix_alphabet
38,g h i j f,g h i j k,q u v w x,t u v w x,,letter_analogy_fix_alphabet
39,f g h k j,f g h i j,m r s t u,q r s t u,,letter_analogy_fix_alphabet
40,y k l m n,j k l m n,p i r s t,p q r s t,,letter_analogy_fix_alphabet
41,a n c d e,a b c d e,q n s t u,q r s t u,,letter_analogy_fix_alphabet
42,o x q r s,o p q r s,i j k v m,i j k l m,,letter_analogy_fix_alphabet
43,f s h i j,f g h i j,e v g h i,e f g h i,,letter_analogy_fix_alphabet
44,v w x d z,v w x y z,o p u r s,o p q r s,,letter_analogy_fix_alphabet
45,a b c q e,a b c d e,u v o x y,u v w x y,,letter_analogy_fix_alphabet
46,t u g w x,t u v w x,q r s c u,q r s t u,,letter_analogy_fix_alphabet
47,h i j k q,h i j k l,a m c d e,a b c d e,,letter_analogy_fix_alphabet
48,r s c u v,r s t u v,g m n o p,l m n o p,,letter_analogy_fix_alphabet
49,f g a i j,f g h i j,q d s t u,q r s t u,,letter_analogy_fix_alphabet
