,target,source,targ_word,src_word,alternatives,analogy_type
0,h i j k,g i j k,v v w w x x y y,u u w w x x y y,,letter_analogy_group
1,r s t u,r s t v,c c d d e e f f,c c d d e e g g,,letter_analogy_group
2,o o p q r s,o p q r s,h h i i j j j j k k l l,h h i i j j k k l l,,letter_analogy_group
3,l o n m p,l m n o p,t t s s u u v v w w,s s t t u u v v w w,,letter_analogy_group
4,x g h i j,f g h i j,m m n n o o u u q q,m m n n o o p p q q,,letter_analogy_group
5,w x y z,v x y z,m m n n o o p p,l l n n o o p p,,letter_analogy_group
6,s t u v,r t u v,u u v v w w x x,t t v v w w x x,,letter_analogy_group
7,r e t u v,r s t u v,v v w w m m y y z z,v v w w x x y y z z,,letter_analogy_group
8,h i j k,h i j k l,t t u u v v w w,t t u u v v w w x x,,letter_analogy_group
9,c d e f,c d e g,u u v v w w x x,u u v v w w y y,,letter_analogy_group
10,k y m n o,k l m n o,b b w w x x y y z z,v v w w x x y y z z,,letter_analogy_group
11,m q o p n,m n o p q,w w t t u u v v s s,s s t t u u v v w w,,letter_analogy_group
12,m n o p,m n o p q,j j k k l l m m,j j k k l l m m n n,,letter_analogy_group
13,l m n o,l m n p,s s t t u u v v,s s t t u u w w,,letter_analogy_group
14,s t w v u,s t u v w,o o p p s s r r q q,o o p p q q r r s s,,letter_analogy_group
15,k l m n,k l m n o,a a b b c c d d,a a b b c c d d e e,,letter_analogy_group
16,c d e f,c d e f g,g g h h i i j j,g g h h i i j j k k,,letter_analogy_group
17,g h i j,g h i j k,j j k k l l m m,j j k k l l m m n n,,letter_analogy_group
18,m n o p,m n o p q,t t u u v v w w,t t u u v v w w x x,,letter_analogy_group
19,v w x y,v w x y z,t t u u v v w w,t t u u v v w w x x,,letter_analogy_group
20,p q r s,p q r t,c c d d e e f f,c c d d e e g g,,letter_analogy_group
21,m n o p,m n o p q,f f g g h h i i,f f g g h h i i j j,,letter_analogy_group
22,d e f g,d e f g h,g g h h i i j j,g g h h i i j j k k,,letter_analogy_group
23,q r s t,p r s t,s s t t u u v v,r r t t u u v v,,letter_analogy_group
24,j k l m,i k l m,q q r r s s t t,p p r r s s t t,,letter_analogy_group
25,a b c d,a b c e,n n o o p p q q,n n o o p p r r,,letter_analogy_group
26,u v w w x y,u v w x y,f f g g g g h h i i j j,f f g g h h i i j j,,letter_analogy_group
27,h i j k,h i j l,e e f f g g h h,e e f f g g i i,,letter_analogy_group
28,u v w x,u v w x y,i i j j k k l l,i i j j k k l l m m,,letter_analogy_group
29,w t u v s,s t u v w,n n p p o o q q r r,n n o o p p q q r r,,letter_analogy_group
30,r s t u,r s t v,b b c c d d e e,b b c c d d f f,,letter_analogy_group
