,target,source,targ_word,src_word,alternatives,analogy_type
0,t s u v w,s t u v w,d x c x e x f x g x,c x d x e x f x g x,,letter_analogy_interleaved
1,b c c d e f,b c d e f,r x s x t x u x u x v x,r x s x t x u x v x,,letter_analogy_interleaved
2,d e m g h,d e f g h,x x l x m x n x o x,k x l x m x n x o x,,letter_analogy_interleaved
3,l l m n o p,l m n o p,e x f x f x g x h x i x,e x f x g x h x i x,,letter_analogy_interleaved
4,o p q r,o p q s,v x w x x x y x,v x w x x x z x,,letter_analogy_interleaved
5,c d e f,c d e g,u x v x w x x x,u x v x w x y x,,letter_analogy_interleaved
6,c d e f,b d e f,q x r x s x t x,p x r x s x t x,,letter_analogy_interleaved
7,o p s r q,o p q r s,c x d x e x g x f x,c x d x e x f x g x,,letter_analogy_interleaved
8,k l g n o,k l m n o,e x f x g x o x i x,e x f x g x h x i x,,letter_analogy_interleaved
9,a b c d k,a b c d e,g x u x i x j x k x,g x h x i x j x k x,,letter_analogy_interleaved
10,p q s r t,p q r s t,y x w x x x v x z x,v x w x x x y x z x,,letter_analogy_interleaved
11,p q r s,p q r t,f x g x h x i x,f x g x h x j x,,letter_analogy_interleaved
12,f g i h j,f g h i j,s x u x t x v x w x,s x t x u x v x w x,,letter_analogy_interleaved
13,t u v w,t u v x,b x c x d x e x,b x c x d x f x,,letter_analogy_interleaved
14,m n p o q,m n o p q,y x w x x x v x z x,v x w x x x y x z x,,letter_analogy_interleaved
15,g h i j,g h i k,b x c x d x e x,b x c x d x f x,,letter_analogy_interleaved
16,s t u v,s t u v w,l x m x n x o x,l x m x n x o x p x,,letter_analogy_interleaved
17,f g h i,f g h i j,b x c x d x e x,b x c x d x e x f x,,letter_analogy_interleaved
18,e f g h,e f g i,m x n x o x p x,m x n x o x q x,,letter_analogy_interleaved
19,s t u v,r t u v,w x x x y x z x,v x x x y x z x,,letter_analogy_interleaved
20,c j e f g,c d e f g,q x b x s x t x u x,q x r x s x t x u x,,letter_analogy_interleaved
21,g f i j k,g h i j k,c x d x e x a x g x,c x d x e x f x g x,,letter_analogy_interleaved
22,h i j k,h i j k l,e x f x g x h x,e x f x g x h x i x,,letter_analogy_interleaved
23,w x y z,v x y z,p x q x r x s x,o x q x r x s x,,letter_analogy_interleaved
24,t u v v w x,t u v w x,l x m x n x o x p x p x,l x m x n x o x p x,,letter_analogy_interleaved
25,k o m n l,k l m n o,v x w x z x y x x x,v x w x x x y x z x,,letter_analogy_interleaved
26,n o p q,m o p q,g x h x i x j x,f x h x i x j x,,letter_analogy_interleaved
27,s t v u w,s t u v w,m x p x o x n x q x,m x n x o x p x q x,,letter_analogy_interleaved
28,g h i j,f h i j,u x v x w x x x,t x v x w x x x,,letter_analogy_interleaved
29,e f g h,d f g h,c x d x e x f x,b x d x e x f x,,letter_analogy_interleaved
30,j i k l m,i j k l m,k x l x m x o x n x,k x l x m x n x o x,,letter_analogy_interleaved
31,k l m q o,k l m n o,o x p x d x r x s x,o x p x q x r x s x,,letter_analogy_interleaved
32,o p q r,o p q s,k x l x m x n x,k x l x m x o x,,letter_analogy_interleaved
33,i j k l l m,i j k l m,j x k x l x m x m x n x,j x k x l x m x n x,,letter_analogy_interleaved
34,t u v w,t u v w x,i x j x k x l x,i x j x k x l x m x,,letter_analogy_interleaved
35,v w x y,u w x y,c x d x e x f x,b x d x e x f x,,letter_analogy_interleaved
36,s m n o p,l m n o p,q x r x s x i x u x,q x r x s x t x u x,,letter_analogy_interleaved
37,s t e v w,s t u v w,i x j x y x l x m x,i x j x k x l x m x,,letter_analogy_interleaved
38,n p o q r,n o p q r,q x p x o x r x s x,o x p x q x r x s x,,letter_analogy_interleaved
39,i j k l,h j k l,m x n x o x p x,l x n x o x p x,,letter_analogy_interleaved
40,l k m n o,k l m n o,r x o x p x q x n x,n x o x p x q x r x,,letter_analogy_interleaved
41,s t u v,r t u v,r x s x t x u x,q x s x t x u x,,letter_analogy_interleaved
42,c d e f,b d e f,o x p x q x r x,n x p x q x r x,,letter_analogy_interleaved
43,g h i j,g h i k,i x j x k x l x,i x j x k x m x,,letter_analogy_interleaved
44,q r s t,q r s u,e x f x g x h x,e x f x g x i x,,letter_analogy_interleaved
45,t u v w,t u v x,a x b x c x d x,a x b x c x e x,,letter_analogy_interleaved
46,s n u v w,s t u v w,g x h x i x m x k x,g x h x i x j x k x,,letter_analogy_interleaved
47,t u w v x,t u v w x,q x p x o x r x s x,o x p x q x r x s x,,letter_analogy_interleaved
48,k l m n n o,k l m n o,b x c x d x e x e x f x,b x c x d x e x f x,,letter_analogy_interleaved
49,s t u v,r t u v,p x q x r x s x,o x q x r x s x,,letter_analogy_interleaved
