,target,source,targ_word,src_word,alternatives,analogy_type
0,b c d e,b c d e f,h j l n,h j l n p,,letter_analogy_larger_int
1,k l l m n o,k l m n o,r t v v x z,r t v x z,,letter_analogy_larger_int
2,a e c d b,a b c d e,n p r v t,n p r t v,,letter_analogy_larger_int
3,k l m n,k l m n o,n p r t,n p r t v,,letter_analogy_larger_int
4,t u v w y,t u v w x,g l k m o,g i k m o,,letter_analogy_larger_int
5,g h i u k,g h i j k,q s u w p,q s u w y,,letter_analogy_larger_int
6,m n o q p,m n o p q,a c g e i,a c e g i,,letter_analogy_larger_int
7,s s t u v w,s t u v w,k m o q s s,k m o q s,,letter_analogy_larger_int
8,l m p o n,l m n o p,b d j h f,b d f h j,,letter_analogy_larger_int
9,s t u v v w,s t u v w,m o o q s u,m o q s u,,letter_analogy_larger_int
10,q r s t,p r s t,j l n p,h l n p,,letter_analogy_larger_int
11,j k l m,j k l m n,m o q s,m o q s u,,letter_analogy_larger_int
12,m n o q p,m n o p q,d f h l j,d f h j l,,letter_analogy_larger_int
13,n o p q r r,n o p q r,o o q s u w,o q s u w,,letter_analogy_larger_int
14,q r s t,q r s u,a c e g,a c e i,,letter_analogy_larger_int
15,t r s q u,q r s t u,q o s u w,o q s u w,,letter_analogy_larger_int
16,t u v w,s u v w,t v x z,r v x z,,letter_analogy_larger_int
17,x n o p q,m n o p q,i k m s q,i k m o q,,letter_analogy_larger_int
18,l o n m p,l m n o p,f h n l j,f h j l n,,letter_analogy_larger_int
19,v w x y,u w x y,s u w y,q u w y,,letter_analogy_larger_int
20,u v w x,u v w x y,c e g i,c e g i k,,letter_analogy_larger_int
21,s t u v,s t u w,j l n p,j l n r,,letter_analogy_larger_int
22,s q r p t,p q r s t,l t p r n,l n p r t,,letter_analogy_larger_int
23,s t u v,s t u v w,e g i k,e g i k m,,letter_analogy_larger_int
24,t u v w,s u v w,n p r t,l p r t,,letter_analogy_larger_int
25,q u s t r,q r s t u,p v t r x,p r t v x,,letter_analogy_larger_int
26,i j l k m,i j k l m,j n l p r,j l n p r,,letter_analogy_larger_int
27,h i j k,h i j l,j l n p,j l n r,,letter_analogy_larger_int
28,i g k l m,i j k l m,j l n p o,j l n p r,,letter_analogy_larger_int
29,k l m n,k l m n o,g i k m,g i k m o,,letter_analogy_larger_int
30,s t u u v w,s t u v w,c c e g i k,c e g i k,,letter_analogy_larger_int
31,m n o p,l n o p,r t v x,p t v x,,letter_analogy_larger_int
32,d e f g,d e f g h,k m o q,k m o q s,,letter_analogy_larger_int
33,e f g h,e f g i,b d f h,b d f j,,letter_analogy_larger_int
34,t u v w,t u v x,n p r t,n p r v,,letter_analogy_larger_int
35,h i j k,h i j l,c e g i,c e g k,,letter_analogy_larger_int
36,b c d e,b c d f,e g i k,e g i m,,letter_analogy_larger_int
37,f g h i,f g h j,g i k m,g i k o,,letter_analogy_larger_int
38,s a u v w,s t u v w,q s u w o,q s u w y,,letter_analogy_larger_int
39,m n o c q,m n o p q,r t y x z,r t v x z,,letter_analogy_larger_int
40,o p q r,n p q r,o q s u,m q s u,,letter_analogy_larger_int
41,c d e f,c d e g,f h j l,f h j n,,letter_analogy_larger_int
42,n p o q r,n o p q r,q m o k s,k m o q s,,letter_analogy_larger_int
43,z k l m n,j k l m n,a c o g i,a c e g i,,letter_analogy_larger_int
44,e f g h i i,e f g h i,h j l n p p,h j l n p,,letter_analogy_larger_int
45,n o p q,n o p q r,f h j l,f h j l n,,letter_analogy_larger_int
46,c d e e f g,c d e f g,f h j l n n,f h j l n,,letter_analogy_larger_int
47,u v w x,t v w x,i k m o,g k m o,,letter_analogy_larger_int
48,y r s t u,q r s t u,g i k y o,g i k m o,,letter_analogy_larger_int
49,f p h i j,f g h i j,l n p r i,l n p r t,,letter_analogy_larger_int
