,target,source,targ_word,src_word,alternatives,analogy_type
0,p q r r s t,p q r s t,7 7 8 9 10 11,7 8 9 10 11,,letter_analogy_letter2num
1,p q r s,o q r s,11 12 13 14,10 12 13 14,,letter_analogy_letter2num
2,s t u v,s t u w,6 7 8 9,6 7 8 10,,letter_analogy_letter2num
3,p q r s,p q r t,10 11 12 13,10 11 12 14,,letter_analogy_letter2num
4,f v w x y,u v w x y,8 9 6 11 12,8 9 10 11 12,,letter_analogy_letter2num
5,n o p q,n o p q r,3 4 5 6,3 4 5 6 7,,letter_analogy_letter2num
6,h i j k,h i j l,6 7 8 9,6 7 8 10,,letter_analogy_letter2num
7,p q r s,p q r t,22 23 24 25,22 23 24 26,,letter_analogy_letter2num
8,f g h i,e g h i,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
9,j k l m n n,j k l m n,5 6 6 7 8 9,5 6 7 8 9,,letter_analogy_letter2num
10,j m l k n,j k l m n,23 22 21 24 25,21 22 23 24 25,,letter_analogy_letter2num
11,j k l m,i k l m,18 19 20 21,17 19 20 21,,letter_analogy_letter2num
12,j k l m,j k l m n,20 21 22 23,20 21 22 23 24,,letter_analogy_letter2num
13,i j k l,i j k l m,15 16 17 18,15 16 17 18 19,,letter_analogy_letter2num
14,a b c d,a b c d e,17 18 19 20,17 18 19 20 21,,letter_analogy_letter2num
15,q r s t,q r s u,20 21 22 23,20 21 22 24,,letter_analogy_letter2num
16,v u t w x,t u v w x,16 15 17 18 19,15 16 17 18 19,,letter_analogy_letter2num
17,s t u v,r t u v,8 9 10 11,7 9 10 11,,letter_analogy_letter2num
18,j j k l m n,j k l m n,2 3 3 4 5 6,2 3 4 5 6,,letter_analogy_letter2num
19,e f g h,e f g h i,1 2 3 4,1 2 3 4 5,,letter_analogy_letter2num
20,d e f g,d e f g h,18 19 20 21,18 19 20 21 22,,letter_analogy_letter2num
21,v w x y,u w x y,13 14 15 16,12 14 15 16,,letter_analogy_letter2num
22,i j k l m m,i j k l m,20 21 22 23 24 24,20 21 22 23 24,,letter_analogy_letter2num
23,q r s t,q r s u,19 20 21 22,19 20 21 23,,letter_analogy_letter2num
24,c f e d g,c d e f g,20 21 23 22 24,20 21 22 23 24,,letter_analogy_letter2num
25,f g h i,f g h i j,5 6 7 8,5 6 7 8 9,,letter_analogy_letter2num
26,q p r s t,p q r s t,2 3 5 4 6,2 3 4 5 6,,letter_analogy_letter2num
27,q r s t,p r s t,23 24 25 26,22 24 25 26,,letter_analogy_letter2num
28,e j g h i,e f g h i,11 12 13 18 15,11 12 13 14 15,,letter_analogy_letter2num
29,t u v w,s u v w,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
30,n o p q,n o p r,5 6 7 8,5 6 7 9,,letter_analogy_letter2num
31,p q r s,p q r t,19 20 21 22,19 20 21 23,,letter_analogy_letter2num
32,p q r s s t,p q r s t,6 7 8 9 9 10,6 7 8 9 10,,letter_analogy_letter2num
33,c d e f,b d e f,10 11 12 13,9 11 12 13,,letter_analogy_letter2num
34,e f g h,d f g h,14 15 16 17,13 15 16 17,,letter_analogy_letter2num
35,u t s v w,s t u v w,6 3 4 5 2,2 3 4 5 6,,letter_analogy_letter2num
36,m n j p q,m n o p q,18 13 20 21 22,18 19 20 21 22,,letter_analogy_letter2num
37,h l j k i,h i j k l,15 12 13 14 11,11 12 13 14 15,,letter_analogy_letter2num
38,d e g f h,d e f g h,8 9 11 10 12,8 9 10 11 12,,letter_analogy_letter2num
39,k l m m n o,k l m n o,6 7 8 8 9 10,6 7 8 9 10,,letter_analogy_letter2num
40,n o p q q r,n o p q r,9 10 10 11 12 13,9 10 11 12 13,,letter_analogy_letter2num
41,p q r s,p q r s t,12 13 14 15,12 13 14 15 16,,letter_analogy_letter2num
42,i j k l,i j k l m,13 14 15 16,13 14 15 16 17,,letter_analogy_letter2num
43,e f g h,e f g i,10 11 12 13,10 11 12 14,,letter_analogy_letter2num
44,j k l m,j k l m n,18 19 20 21,18 19 20 21 22,,letter_analogy_letter2num
45,n o p q,n o p q r,21 22 23 24,21 22 23 24 25,,letter_analogy_letter2num
46,j k l m,j k l n,22 23 24 25,22 23 24 26,,letter_analogy_letter2num
47,c d e f,c d e f g,9 10 11 12,9 10 11 12 13,,letter_analogy_letter2num
48,g h i j,g h i j k,15 16 17 18,15 16 17 18 19,,letter_analogy_letter2num
49,i j k l p,i j k l m,18 19 20 21 25,18 19 20 21 22,,letter_analogy_letter2num
50,d c b e f,b c d e f,20 18 19 17 21,17 18 19 20 21,,letter_analogy_letter2num
51,r s t u,q s t u,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
52,y s t u v,r s t u v,19 20 21 8 23,19 20 21 22 23,,letter_analogy_letter2num
53,f g h i,e g h i,7 8 9 10,6 8 9 10,,letter_analogy_letter2num
54,i j m l k,i j k l m,19 20 23 22 21,19 20 21 22 23,,letter_analogy_letter2num
55,i j k l,i j k m,3 4 5 6,3 4 5 7,,letter_analogy_letter2num
56,t u v w,s u v w,17 18 19 20,16 18 19 20,,letter_analogy_letter2num
57,c d e f,c d e g,11 12 13 14,11 12 13 15,,letter_analogy_letter2num
58,n o p q,m o p q,4 5 6 7,3 5 6 7,,letter_analogy_letter2num
59,u v x w y,u v w x y,6 5 7 8 9,5 6 7 8 9,,letter_analogy_letter2num
60,l f n o p,l m n o p,22 23 19 25 26,22 23 24 25 26,,letter_analogy_letter2num
61,h i j k l l,h i j k l,1 2 3 3 4 5,1 2 3 4 5,,letter_analogy_letter2num
62,d e f g,d e f h,6 7 8 9,6 7 8 10,,letter_analogy_letter2num
63,r s t u,r s t v,12 13 14 15,12 13 14 16,,letter_analogy_letter2num
64,c d e f,c d e f g,11 12 13 14,11 12 13 14 15,,letter_analogy_letter2num
65,o p q r s s,o p q r s,18 19 19 20 21 22,18 19 20 21 22,,letter_analogy_letter2num
66,v w z y x,v w x y z,17 21 19 20 18,17 18 19 20 21,,letter_analogy_letter2num
67,p t r s q,p q r s t,20 22 21 23 24,20 21 22 23 24,,letter_analogy_letter2num
68,k l m n,j l m n,19 20 21 22,18 20 21 22,,letter_analogy_letter2num
69,o p q r,n p q r,18 19 20 21,17 19 20 21,,letter_analogy_letter2num
70,b c c d e f,b c d e f,22 23 24 25 25 26,22 23 24 25 26,,letter_analogy_letter2num
71,b c d e,b c d e f,10 11 12 13,10 11 12 13 14,,letter_analogy_letter2num
72,e f g h,d f g h,20 21 22 23,19 21 22 23,,letter_analogy_letter2num
73,t x v w u,t u v w x,8 5 6 7 4,4 5 6 7 8,,letter_analogy_letter2num
74,e e f g h i,e f g h i,10 11 12 13 14 14,10 11 12 13 14,,letter_analogy_letter2num
75,r s t w v,r s t u v,3 8 9 10 11,7 8 9 10 11,,letter_analogy_letter2num
76,t u v x w,t u v w x,18 15 16 17 14,14 15 16 17 18,,letter_analogy_letter2num
