,target,source,targ_word,src_word,alternatives,analogy_type
0,g h i j k k,g h i j k,o o p q r s t u v w,o p q r s t u v w,,letter_analogy_longer_targ
1,w x y z,v x y z,s t u v w x y z,r t u v w x y z,,letter_analogy_longer_targ
2,q r s t,q r s t u,e f g h i j k l,e f g h i j k l m,,letter_analogy_longer_targ
3,b c d e,b c d f,o p q r s t u v,o p q r s t u w,,letter_analogy_longer_targ
4,g h i j,g h i j k,h i j k l m n o,h i j k l m n o p,,letter_analogy_longer_targ
5,u v w x,u v w x y,b c d e f g h i,b c d e f g h i j,,letter_analogy_longer_targ
6,r q p s t,p q r s t,l j k i m n o p q,i j k l m n o p q,,letter_analogy_longer_targ
7,o p q r,n p q r,l m n o p q r s,k m n o p q r s,,letter_analogy_longer_targ
8,g h i j,g h i j k,q r s t u v w x,q r s t u v w x y,,letter_analogy_longer_targ
9,m n o p,l n o p,o p q r s t u v,n p q r s t u v,,letter_analogy_longer_targ
10,n o p q,n o p r,i j k l m n o p,i j k l m n o q,,letter_analogy_longer_targ
11,m m n o p q,m n o p q,f g h i j k l l m n,f g h i j k l m n,,letter_analogy_longer_targ
12,b c d e,a c d e,p q r s t u v w,o q r s t u v w,,letter_analogy_longer_targ
13,u v w k y,u v w x y,o p q r f t u v w,o p q r s t u v w,,letter_analogy_longer_targ
14,i m k l j,i j k l m,l m s o p q r n t,l m n o p q r s t,,letter_analogy_longer_targ
15,z c d e f,b c d e f,e f g h i j k l x,e f g h i j k l m,,letter_analogy_longer_targ
16,h i j l k,h i j k l,k l q n o p m r s,k l m n o p q r s,,letter_analogy_longer_targ
17,c d e f,c d e f g,q r s t u v w x,q r s t u v w x y,,letter_analogy_longer_targ
18,v u x y z,v w x y z,c d n f g h i j k,c d e f g h i j k,,letter_analogy_longer_targ
19,u v w x,u v w y,g h i j k l m n,g h i j k l m o,,letter_analogy_longer_targ
20,m n o p,m n o q,a b c d e f g h,a b c d e f g i,,letter_analogy_longer_targ
21,a b c d,a b c d e,l m n o p q r s,l m n o p q r s t,,letter_analogy_longer_targ
22,u v w x,u v w x y,d e f g h i j k,d e f g h i j k l,,letter_analogy_longer_targ
23,b b c d e f,b c d e f,c d e f g h i j k k,c d e f g h i j k,,letter_analogy_longer_targ
24,t u v w,t u v w x,j k l m n o p q,j k l m n o p q r,,letter_analogy_longer_targ
25,p q r s,p q r t,g h i j k l m n,g h i j k l m o,,letter_analogy_longer_targ
26,h i s k l,h i j k l,c d e f g h i w k,c d e f g h i j k,,letter_analogy_longer_targ
27,k i j h l,h i j k l,f e g h i j k l m,e f g h i j k l m,,letter_analogy_longer_targ
28,e f g h,d f g h,c d e f g h i j,b d e f g h i j,,letter_analogy_longer_targ
29,k l f n o,k l m n o,j o p q r s t u v,n o p q r s t u v,,letter_analogy_longer_targ
