,target,source,targ_word,src_word,alternatives,analogy_type
0,v w x,v w x y,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
1,d e f,d e f g,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
2,n o p,n o p q,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
3,d e f,d e f g,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
4,j k l,j k l m,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
5,s t u,s t u v,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
6,h i j,h i j k,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
7,s t u,s t u v,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
8,j k l,j k l m,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
9,f g h,f g h i,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
10,k l m,k l m n,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
11,w x y,w x y z,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
12,d e f,d e f g,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
13,d e f,d e f g,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
14,v w x,v w x y,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
15,l m n,l m n o,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
16,b c d,b c d e,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
17,k l m,k l m n,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
18,e f g,e f g h,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
19,s t u,s t u v,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
20,q r s,q r s t,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
21,u v w,u v w x,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
22,w x y,w x y z,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
23,t u v,t u v w,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
24,s t u,s t u v,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
25,l m n,l m n o,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
26,u v w,u v w x,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
27,h i j,h i j k,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
28,m n o,m n o p,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
29,i j k,i j k l,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
30,h i j,h i j k,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
31,l m n,l m n o,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
32,q r s,q r s t,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
33,a b c,a b c d,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
34,c d e,c d e f,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
35,p q r,p q r s,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
36,r s t,r s t u,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
37,m n o,m n o p,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
38,k l m,k l m n,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
39,e f g,e f g h,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
40,o p q,o p q r,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
41,l m n,l m n o,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
42,n o p,n o p q,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
43,p q r,p q r s,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
44,e f g,e f g h,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
45,j k l,j k l m,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
46,j k l,j k l m,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
47,r s t,r s t u,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
48,i j k,i j k l,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
49,k l m,k l m n,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
50,t u v,t u v w,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
51,a b c,a b c d,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
52,t u v,t u v w,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
53,q r s,q r s t,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
54,t u v,t u v w,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
55,s t u,s t u v,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
56,d e f,d e f g,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
57,u v w,u v w x,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
58,b c d,b c d e,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
59,f g h,f g h i,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
60,i j k,i j k l,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
61,t u v,t u v w,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
62,w x y,w x y z,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
63,o p q,o p q r,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
64,i j k,i j k l,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
65,n o p,n o p q,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
66,m n o,m n o p,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
67,g h i,g h i j,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
68,l m n,l m n o,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
69,u v w,u v w x,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
70,p q r,p q r s,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
71,c d e,c d e f,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
72,g h i,g h i j,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
73,r s t,r s t u,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
74,m n o,m n o p,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
75,e f g,e f g h,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
76,e f g,e f g h,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
77,p q r,p q r s,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
78,o p q,o p q r,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
79,c d e,c d e f,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
80,v w x,v w x y,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
81,w x y,w x y z,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
82,a b c,a b c d,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
83,f g h,f g h i,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
84,b c d,b c d e,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
85,w x y,w x y z,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
86,b c d,b c d e,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
87,f g h,f g h i,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
88,g h i,g h i j,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
89,h i j,h i j k,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
90,n o p,n o p q,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
91,p q r,p q r s,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
92,o p q,o p q r,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
93,i j k,i j k l,penny nickel dime,penny nickel dime quarter,,letter_analogy_realworld_add_letter
94,a b c,a b c d,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
95,j k l,j k l m,cold cool warm,cold cool warm hot,,letter_analogy_realworld_add_letter
96,f g h,f g h i,jack queen king,jack queen king ace,,letter_analogy_realworld_add_letter
97,u v w,u v w x,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
98,v w x,v w x y,second minute hour,second minute hour day,,letter_analogy_realworld_add_letter
99,n o p,n o p q,love like dislike,love like dislike hate,,letter_analogy_realworld_add_letter
