,target,source,targ_word,src_word,alternatives,analogy_type
0,k l n m,k l m n,warm cool cold hot,cold cool warm hot,,letter_analogy_realworld_sort
1,f g i h,f g h i,jack queen ace king,jack queen king ace,,letter_analogy_realworld_sort
2,n l m k,k l m n,quarter nickel dime penny,penny nickel dime quarter,,letter_analogy_realworld_sort
3,v u w x,u v w x,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
4,n p o q,n o p q,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
5,m l n o,l m n o,cold hot warm cool,cold cool warm hot,,letter_analogy_realworld_sort
6,f d e c,c d e f,warm cool cold hot,cold cool warm hot,,letter_analogy_realworld_sort
7,g j i h,g h i j,day minute hour second,second minute hour day,,letter_analogy_realworld_sort
8,n q p o,n o p q,penny quarter dime nickel,penny nickel dime quarter,,letter_analogy_realworld_sort
9,u t s v,s t u v,love like hate dislike,love like dislike hate,,letter_analogy_realworld_sort
10,e f h g,e f g h,penny quarter dime nickel,penny nickel dime quarter,,letter_analogy_realworld_sort
11,h i k j,h i j k,second hour minute day,second minute hour day,,letter_analogy_realworld_sort
12,i l k j,i j k l,love dislike like hate,love like dislike hate,,letter_analogy_realworld_sort
13,n p o q,n o p q,queen jack king ace,jack queen king ace,,letter_analogy_realworld_sort
14,p r q s,p q r s,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
15,f i h g,f g h i,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
16,l n m o,l m n o,penny dime nickel quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
17,e g f h,e f g h,second day hour minute,second minute hour day,,letter_analogy_realworld_sort
18,w u v t,t u v w,dislike like love hate,love like dislike hate,,letter_analogy_realworld_sort
19,f g i h,f g h i,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
20,r p q o,o p q r,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
21,u t s v,s t u v,dislike like love hate,love like dislike hate,,letter_analogy_realworld_sort
22,t v u w,t u v w,cold warm cool hot,cold cool warm hot,,letter_analogy_realworld_sort
23,o m n l,l m n o,second hour minute day,second minute hour day,,letter_analogy_realworld_sort
24,f d e c,c d e f,quarter nickel dime penny,penny nickel dime quarter,,letter_analogy_realworld_sort
25,l j k i,i j k l,penny dime nickel quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
26,s r t u,r s t u,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
27,n p o q,n o p q,day minute hour second,second minute hour day,,letter_analogy_realworld_sort
28,j i k l,i j k l,love dislike like hate,love like dislike hate,,letter_analogy_realworld_sort
29,n m o p,m n o p,hour minute second day,second minute hour day,,letter_analogy_realworld_sort
30,t r s q,q r s t,dime nickel penny quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
31,t r s q,q r s t,second day hour minute,second minute hour day,,letter_analogy_realworld_sort
32,u t s v,s t u v,hate like dislike love,love like dislike hate,,letter_analogy_realworld_sort
33,v w y x,v w x y,queen jack king ace,jack queen king ace,,letter_analogy_realworld_sort
34,p o n q,n o p q,king queen jack ace,jack queen king ace,,letter_analogy_realworld_sort
35,w x z y,w x y z,penny quarter dime nickel,penny nickel dime quarter,,letter_analogy_realworld_sort
36,s t v u,s t u v,jack king queen ace,jack queen king ace,,letter_analogy_realworld_sort
37,i k j l,i j k l,second day hour minute,second minute hour day,,letter_analogy_realworld_sort
38,k i j h,h i j k,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
39,l n m o,l m n o,cold hot warm cool,cold cool warm hot,,letter_analogy_realworld_sort
40,r t s u,r s t u,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
41,h j i k,h i j k,penny nickel quarter dime,penny nickel dime quarter,,letter_analogy_realworld_sort
42,u t s v,s t u v,quarter nickel dime penny,penny nickel dime quarter,,letter_analogy_realworld_sort
43,k j i l,i j k l,like love dislike hate,love like dislike hate,,letter_analogy_realworld_sort
44,c e d f,c d e f,jack queen ace king,jack queen king ace,,letter_analogy_realworld_sort
45,v t u s,s t u v,cool cold warm hot,cold cool warm hot,,letter_analogy_realworld_sort
46,t v u w,t u v w,minute second hour day,second minute hour day,,letter_analogy_realworld_sort
47,j l k m,j k l m,penny nickel quarter dime,penny nickel dime quarter,,letter_analogy_realworld_sort
48,t w v u,t u v w,minute second hour day,second minute hour day,,letter_analogy_realworld_sort
49,g e f d,d e f g,cool cold warm hot,cold cool warm hot,,letter_analogy_realworld_sort
50,j i h k,h i j k,king queen jack ace,jack queen king ace,,letter_analogy_realworld_sort
51,w x z y,w x y z,quarter nickel dime penny,penny nickel dime quarter,,letter_analogy_realworld_sort
52,h g i j,g h i j,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
53,o n m p,m n o p,second day hour minute,second minute hour day,,letter_analogy_realworld_sort
54,g f e h,e f g h,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
55,p s r q,p q r s,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
56,d b c a,a b c d,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
57,j i k l,i j k l,queen jack king ace,jack queen king ace,,letter_analogy_realworld_sort
58,r s u t,r s t u,cool cold warm hot,cold cool warm hot,,letter_analogy_realworld_sort
59,j l k m,j k l m,love hate dislike like,love like dislike hate,,letter_analogy_realworld_sort
60,o p r q,o p q r,minute second hour day,second minute hour day,,letter_analogy_realworld_sort
61,l n m o,l m n o,love dislike like hate,love like dislike hate,,letter_analogy_realworld_sort
62,i g h f,f g h i,jack king queen ace,jack queen king ace,,letter_analogy_realworld_sort
63,d f e g,d e f g,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
64,i k j l,i j k l,king queen jack ace,jack queen king ace,,letter_analogy_realworld_sort
65,r q s t,q r s t,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
66,a d c b,a b c d,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
67,j m l k,j k l m,dime nickel penny quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
68,m n p o,m n o p,cold hot warm cool,cold cool warm hot,,letter_analogy_realworld_sort
69,e f h g,e f g h,ace queen king jack,jack queen king ace,,letter_analogy_realworld_sort
70,w x z y,w x y z,warm cool cold hot,cold cool warm hot,,letter_analogy_realworld_sort
71,n o q p,n o p q,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
72,e d c f,c d e f,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
73,g f e h,e f g h,day minute hour second,second minute hour day,,letter_analogy_realworld_sort
74,j i h k,h i j k,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
75,x w y z,w x y z,love like hate dislike,love like dislike hate,,letter_analogy_realworld_sort
76,m l k n,k l m n,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
77,t r s q,q r s t,nickel penny dime quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
78,u t s v,s t u v,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
79,c d f e,c d e f,like love dislike hate,love like dislike hate,,letter_analogy_realworld_sort
80,w v u x,u v w x,cold hot warm cool,cold cool warm hot,,letter_analogy_realworld_sort
81,s u t v,s t u v,warm cool cold hot,cold cool warm hot,,letter_analogy_realworld_sort
82,q s r t,q r s t,jack king queen ace,jack queen king ace,,letter_analogy_realworld_sort
83,j i h k,h i j k,second hour minute day,second minute hour day,,letter_analogy_realworld_sort
84,w x z y,w x y z,hate like dislike love,love like dislike hate,,letter_analogy_realworld_sort
85,g f e h,e f g h,cold warm cool hot,cold cool warm hot,,letter_analogy_realworld_sort
86,k j l m,j k l m,dislike like love hate,love like dislike hate,,letter_analogy_realworld_sort
87,o n m p,m n o p,second minute day hour,second minute hour day,,letter_analogy_realworld_sort
88,j i k l,i j k l,jack ace king queen,jack queen king ace,,letter_analogy_realworld_sort
89,d c b e,b c d e,like love dislike hate,love like dislike hate,,letter_analogy_realworld_sort
90,v x w y,v w x y,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
91,h j i k,h i j k,penny dime nickel quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
92,h k j i,h i j k,penny dime nickel quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
93,m l k n,k l m n,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
94,h j i k,h i j k,king queen jack ace,jack queen king ace,,letter_analogy_realworld_sort
95,w z y x,w x y z,hot cool warm cold,cold cool warm hot,,letter_analogy_realworld_sort
96,k n m l,k l m n,cold cool hot warm,cold cool warm hot,,letter_analogy_realworld_sort
97,u s t r,r s t u,queen jack king ace,jack queen king ace,,letter_analogy_realworld_sort
98,r q p s,p q r s,penny dime nickel quarter,penny nickel dime quarter,,letter_analogy_realworld_sort
99,s v u t,s t u v,second minute day hour,second minute hour day,,letter_analogy_realworld_sort
