,target,source,targ_word,src_word,alternatives,analogy_type
0,j k l,j k m,jack queen king,jack queen ace,,letter_analogy_realworld_succ
1,h i j,h i k,jack queen king,jack queen ace,,letter_analogy_realworld_succ
2,n o p,n o q,jack queen king,jack queen ace,,letter_analogy_realworld_succ
3,n o p,n o q,love like dislike,love like hate,,letter_analogy_realworld_succ
4,p q r,p q s,jack queen king,jack queen ace,,letter_analogy_realworld_succ
5,d e f,d e g,penny nickel dime,penny nickel quarter,,letter_analogy_realworld_succ
6,t u v,t u w,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
7,h i j,h i k,love like dislike,love like hate,,letter_analogy_realworld_succ
8,w x y,w x z,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
9,e f g,e f h,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
10,g h i,g h j,jack queen king,jack queen ace,,letter_analogy_realworld_succ
11,w x y,w x z,jack queen king,jack queen ace,,letter_analogy_realworld_succ
12,o p q,o p r,penny nickel dime,penny nickel quarter,,letter_analogy_realworld_succ
13,l m n,l m o,second minute hour,second minute day,,letter_analogy_realworld_succ
14,c d e,c d f,love like dislike,love like hate,,letter_analogy_realworld_succ
15,o p q,o p r,love like dislike,love like hate,,letter_analogy_realworld_succ
16,q r s,q r t,love like dislike,love like hate,,letter_analogy_realworld_succ
17,b c d,b c e,jack queen king,jack queen ace,,letter_analogy_realworld_succ
18,u v w,u v x,second minute hour,second minute day,,letter_analogy_realworld_succ
19,q r s,q r t,penny nickel dime,penny nickel quarter,,letter_analogy_realworld_succ
20,f g h,f g i,love like dislike,love like hate,,letter_analogy_realworld_succ
21,k l m,k l n,jack queen king,jack queen ace,,letter_analogy_realworld_succ
22,s t u,s t v,love like dislike,love like hate,,letter_analogy_realworld_succ
23,k l m,k l n,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
24,g h i,g h j,second minute hour,second minute day,,letter_analogy_realworld_succ
25,d e f,d e g,second minute hour,second minute day,,letter_analogy_realworld_succ
26,j k l,j k m,love like dislike,love like hate,,letter_analogy_realworld_succ
27,l m n,l m o,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
28,p q r,p q s,love like dislike,love like hate,,letter_analogy_realworld_succ
29,t u v,t u w,jack queen king,jack queen ace,,letter_analogy_realworld_succ
30,v w x,v w y,cold cool warm,cold cool hot,,letter_analogy_realworld_succ
