,target,source,targ_word,src_word,alternatives,analogy_type
0,v w x x y z,v w x y z,c d e f g g,c d e f g,,letter_analogy_remove_redundant
1,s t u v v w,s t u v w,n o p q q r,n o p q r,,letter_analogy_remove_redundant
2,m n o o p q,m n o p q,s t t u v w,s t u v w,,letter_analogy_remove_redundant
3,l m n o o p,l m n o p,i i j k l m,i j k l m,,letter_analogy_remove_redundant
4,n o o p q r,n o p q r,p q r s t t,p q r s t,,letter_analogy_remove_redundant
5,v w w x y z,v w x y z,d e f g h h,d e f g h,,letter_analogy_remove_redundant
6,m n o p q q,m n o p q,g h h i j k,g h i j k,,letter_analogy_remove_redundant
7,s t u v v w,s t u v w,e f g h h i,e f g h i,,letter_analogy_remove_redundant
8,q r s t t u,q r s t u,h i i j k l,h i j k l,,letter_analogy_remove_redundant
9,i j k k l m,i j k l m,v w x y y z,v w x y z,,letter_analogy_remove_redundant
10,d e e f g h,d e f g h,i j k k l m,i j k l m,,letter_analogy_remove_redundant
11,b c d e e f,b c d e f,s t t u v w,s t u v w,,letter_analogy_remove_redundant
12,b b c d e f,b c d e f,m n o p q q,m n o p q,,letter_analogy_remove_redundant
13,m n o o p q,m n o p q,h h i j k l,h i j k l,,letter_analogy_remove_redundant
14,j j k l m n,j k l m n,r s t u u v,r s t u v,,letter_analogy_remove_redundant
15,q r s t u u,q r s t u,a a b c d e,a b c d e,,letter_analogy_remove_redundant
16,l l m n o p,l m n o p,r s t u u v,r s t u v,,letter_analogy_remove_redundant
17,c d e f f g,c d e f g,h i j j k l,h i j k l,,letter_analogy_remove_redundant
18,f f g h i j,f g h i j,k l l m n o,k l m n o,,letter_analogy_remove_redundant
19,h i j k l l,h i j k l,e f f g h i,e f g h i,,letter_analogy_remove_redundant
20,b c c d e f,b c d e f,t u v v w x,t u v w x,,letter_analogy_remove_redundant
21,r s t u u v,r s t u v,b c d e f f,b c d e f,,letter_analogy_remove_redundant
22,m n o o p q,m n o p q,u v w x y y,u v w x y,,letter_analogy_remove_redundant
23,d d e f g h,d e f g h,i j k k l m,i j k l m,,letter_analogy_remove_redundant
24,b c d d e f,b c d e f,r s t t u v,r s t u v,,letter_analogy_remove_redundant
25,p q r s s t,p q r s t,s t u v w w,s t u v w,,letter_analogy_remove_redundant
26,h h i j k l,h i j k l,q r s t u u,q r s t u,,letter_analogy_remove_redundant
27,b c d e f f,b c d e f,f g g h i j,f g h i j,,letter_analogy_remove_redundant
28,k l m m n o,k l m n o,c d e e f g,c d e f g,,letter_analogy_remove_redundant
29,n o p p q r,n o p q r,m m n o p q,m n o p q,,letter_analogy_remove_redundant
30,p q r r s t,p q r s t,q r s s t u,q r s t u,,letter_analogy_remove_redundant
31,n n o p q r,n o p q r,u v v w x y,u v w x y,,letter_analogy_remove_redundant
32,m n n o p q,m n o p q,t u v w x x,t u v w x,,letter_analogy_remove_redundant
33,v w x x y z,v w x y z,u v w x y y,u v w x y,,letter_analogy_remove_redundant
34,b c c d e f,b c d e f,j k k l m n,j k l m n,,letter_analogy_remove_redundant
35,u v v w x y,u v w x y,m n o p q q,m n o p q,,letter_analogy_remove_redundant
