,target,source,targ_word,src_word,alternatives,analogy_type
0,l m n p o,l m n o p,g f h i j,f g h i j,,letter_analogy_sort
1,i h j k l,h i j k l,p r q s t,p q r s t,,letter_analogy_sort
2,b c e d f,b c d e f,l k m n o,k l m n o,,letter_analogy_sort
3,v u t w x,t u v w x,m n q p o,m n o p q,,letter_analogy_sort
4,e c d b f,b c d e f,j i k l m,i j k l m,,letter_analogy_sort
5,t u w v x,t u v w x,i m k l j,i j k l m,,letter_analogy_sort
6,a b c e d,a b c d e,n k l m j,j k l m n,,letter_analogy_sort
7,f e d g h,d e f g h,p q s r t,p q r s t,,letter_analogy_sort
8,j i h k l,h i j k l,i f g h e,e f g h i,,letter_analogy_sort
9,r o p q n,n o p q r,s q r p t,p q r s t,,letter_analogy_sort
10,l m o n p,l m n o p,n r p q o,n o p q r,,letter_analogy_sort
11,m l k n o,k l m n o,v t u s w,s t u v w,,letter_analogy_sort
12,q r s u t,q r s t u,o r q p s,o p q r s,,letter_analogy_sort
13,m q o p n,m n o p q,i j l k m,i j k l m,,letter_analogy_sort
14,m n o q p,m n o p q,t s r u v,r s t u v,,letter_analogy_sort
15,o l m n k,k l m n o,l n m o p,l m n o p,,letter_analogy_sort
16,h g i j k,g h i j k,f g i h j,f g h i j,,letter_analogy_sort
17,d c e f g,c d e f g,q s r t u,q r s t u,,letter_analogy_sort
18,t u v x w,t u v w x,h i k j l,h i j k l,,letter_analogy_sort
19,u r s t q,q r s t u,a b e d c,a b c d e,,letter_analogy_sort
20,b d c e f,b c d e f,j k m l n,j k l m n,,letter_analogy_sort
21,i k j l m,i j k l m,d c b e f,b c d e f,,letter_analogy_sort
22,m n p o q,m n o p q,k j i l m,i j k l m,,letter_analogy_sort
23,n m l o p,l m n o p,n k l m j,j k l m n,,letter_analogy_sort
24,c b a d e,a b c d e,r s v u t,r s t u v,,letter_analogy_sort
25,t v u w x,t u v w x,r s v u t,r s t u v,,letter_analogy_sort
26,v u t w x,t u v w x,i m k l j,i j k l m,,letter_analogy_sort
27,j n l m k,j k l m n,o n m p q,m n o p q,,letter_analogy_sort
28,b e d c f,b c d e f,r o p q n,n o p q r,,letter_analogy_sort
29,p q r t s,p q r s t,u t s v w,s t u v w,,letter_analogy_sort
30,m p o n q,m n o p q,x v w u y,u v w x y,,letter_analogy_sort
31,q s r t u,q r s t u,h e f g d,d e f g h,,letter_analogy_sort
32,u t s v w,s t u v w,h g f i j,f g h i j,,letter_analogy_sort
33,k m l n o,k l m n o,b a c d e,a b c d e,,letter_analogy_sort
34,b a c d e,a b c d e,p s r q t,p q r s t,,letter_analogy_sort
35,t s r u v,r s t u v,i j l k m,i j k l m,,letter_analogy_sort
36,j h i g k,g h i j k,u v w y x,u v w x y,,letter_analogy_sort
37,k l o n m,k l m n o,e f i h g,e f g h i,,letter_analogy_sort
38,v y x w z,v w x y z,a b d c e,a b c d e,,letter_analogy_sort
39,j i k l m,i j k l m,q r s u t,q r s t u,,letter_analogy_sort
40,g e f d h,d e f g h,q r t s u,q r s t u,,letter_analogy_sort
41,c d f e g,c d e f g,r q p s t,p q r s t,,letter_analogy_sort
42,b d c e f,b c d e f,m p o n q,m n o p q,,letter_analogy_sort
43,h l j k i,h i j k l,g f e h i,e f g h i,,letter_analogy_sort
44,q r u t s,q r s t u,p o n q r,n o p q r,,letter_analogy_sort
45,r u t s v,r s t u v,g d e f c,c d e f g,,letter_analogy_sort
46,b c f e d,b c d e f,n o q p r,n o p q r,,letter_analogy_sort
47,b c d f e,b c d e f,i f g h e,e f g h i,,letter_analogy_sort
48,e f g i h,e f g h i,n o r q p,n o p q r,,letter_analogy_sort
49,w u v t x,t u v w x,l i j k h,h i j k l,,letter_analogy_sort
