,target,source,targ_word,src_word,alternatives,analogy_type
0,t u v w,t u v x,p q r s,p q r t,,letter_analogy_succ
1,v w x y,v w x z,i j k l,i j k m,,letter_analogy_succ
2,n o p q,n o p r,f g h i,f g h j,,letter_analogy_succ
3,r s t u,r s t v,c d e f,c d e g,,letter_analogy_succ
4,i j k l,i j k m,j k l m,j k l n,,letter_analogy_succ
5,k l m n,k l m o,i j k l,i j k m,,letter_analogy_succ
6,u v w x,u v w y,j k l m,j k l n,,letter_analogy_succ
7,p q r s,p q r t,l m n o,l m n p,,letter_analogy_succ
8,t u v w,t u v x,d e f g,d e f h,,letter_analogy_succ
9,c d e f,c d e g,p q r s,p q r t,,letter_analogy_succ
10,e f g h,e f g i,g h i j,g h i k,,letter_analogy_succ
11,m n o p,m n o q,d e f g,d e f h,,letter_analogy_succ
12,k l m n,k l m o,v w x y,v w x z,,letter_analogy_succ
13,m n o p,m n o q,s t u v,s t u w,,letter_analogy_succ
14,d e f g,d e f h,e f g h,e f g i,,letter_analogy_succ
15,i j k l,i j k m,k l m n,k l m o,,letter_analogy_succ
16,f g h i,f g h j,g h i j,g h i k,,letter_analogy_succ
17,h i j k,h i j l,s t u v,s t u w,,letter_analogy_succ
18,c d e f,c d e g,n o p q,n o p r,,letter_analogy_succ
19,g h i j,g h i k,t u v w,t u v x,,letter_analogy_succ
20,o p q r,o p q s,l m n o,l m n p,,letter_analogy_succ
21,f g h i,f g h j,j k l m,j k l n,,letter_analogy_succ
22,h i j k,h i j l,o p q r,o p q s,,letter_analogy_succ
23,d e f g,d e f h,c d e f,c d e g,,letter_analogy_succ
24,h i j k,h i j l,a b c d,a b c e,,letter_analogy_succ
25,r s t u,r s t v,v w x y,v w x z,,letter_analogy_succ
26,b c d e,b c d f,c d e f,c d e g,,letter_analogy_succ
27,n o p q,n o p r,s t u v,s t u w,,letter_analogy_succ
28,j k l m,j k l n,i j k l,i j k m,,letter_analogy_succ
29,l m n o,l m n p,c d e f,c d e g,,letter_analogy_succ
30,k l m n,k l m o,l m n o,l m n p,,letter_analogy_succ
31,h i j k,h i j l,g h i j,g h i k,,letter_analogy_succ
32,c d e f,c d e g,l m n o,l m n p,,letter_analogy_succ
33,k l m n,k l m o,e f g h,e f g i,,letter_analogy_succ
34,n o p q,n o p r,l m n o,l m n p,,letter_analogy_succ
35,c d e f,c d e g,s t u v,s t u w,,letter_analogy_succ
36,t u v w,t u v x,g h i j,g h i k,,letter_analogy_succ
37,r s t u,r s t v,d e f g,d e f h,,letter_analogy_succ
38,c d e f,c d e g,g h i j,g h i k,,letter_analogy_succ
39,i j k l,i j k m,d e f g,d e f h,,letter_analogy_succ
40,b c d e,b c d f,j k l m,j k l n,,letter_analogy_succ
41,h i j k,h i j l,m n o p,m n o q,,letter_analogy_succ
42,h i j k,h i j l,t u v w,t u v x,,letter_analogy_succ
