,target,source,targ_word,src_word,alternatives,analogy_type
0,atom,solar system,nucleus,sun,,science
1,atom,solar system,electron,planet,,science
2,atom,solar system,charge,mass,,science
3,atom,solar system,attracts,attracts,,science
4,atom,solar system,revolves,revolves,,science
5,atom,solar system,electromagnetism,gravity,,science
6,heat transfer,water flow,transfers,flows,,science
7,heat transfer,water flow,temperature,pressure,,science
8,heat transfer,water flow,burner,water tower,,science
9,heat transfer,water flow,kettle,bucket,,science
10,heat transfer,water flow,heating,filling,,science
11,heat transfer,water flow,cooling,emptying,,science
12,heat transfer,water flow,thermodynamics,hydrodynamics,,science
13,sounds,waves,wall,shore,,science
14,sounds,waves,echoes,reflects,,science
15,sounds,waves,air,water,,science
16,sounds,waves,insulation,breakwater,,science
17,sounds,waves,loud,rough,,science
18,sounds,waves,quiet,calm,,science
19,sounds,waves,vibrating,crashing,,science
20,respiration,combustion,animal,fire,,science
21,respiration,combustion,food,fuel,,science
22,respiration,combustion,breathing,burning,,science
23,respiration,combustion,living,hot,,science
24,respiration,combustion,vigorous,intense,,science
25,respiration,combustion,oxygen,oxygen,,science
26,respiration,combustion,carbon dioxide,carbon dioxide,,science
27,light,sound,red,low,,science
28,light,sound,violet,high,,science
29,light,sound,reflects,echoes,,science
30,light,sound,bright,loud,,science
31,light,sound,dim,quiet,,science
32,light,sound,lens,horn,,science
33,planet,projectile,orbit,trajectory,,science
34,planet,projectile,sun,earth,,science
35,planet,projectile,elliptical,parabolic,,science
36,planet,projectile,space,air,,science
37,planet,projectile,gravity,gravity,,science
38,planet,projectile,attracts,attracts,,science
39,natural selection,artificial selection,species,breeds,,science
40,natural selection,artificial selection,competition,selection,,science
41,natural selection,artificial selection,adaptation,conformance,,science
42,natural selection,artificial selection,natural,artificial,,science
43,natural selection,artificial selection,fitness,popularity,,science
44,natural selection,artificial selection,mating,breeding,,science
45,natural selection,artificial selection,wild,domesticated,,science
46,gas molecules,billiard balls,molecules,balls,,science
47,gas molecules,billiard balls,gas,billiards,,science
48,gas molecules,billiard balls,temperature,speed,,science
49,gas molecules,billiard balls,container,table,,science
50,gas molecules,billiard balls,pressing,bouncing,,science
51,gas molecules,billiard balls,moving,moving,,science
52,gas molecules,billiard balls,cold,slow,,science
53,gas molecules,billiard balls,hot,fast,,science
54,mind,computer,thinking,processing,,science
55,mind,computer,forgetting,erasing,,science
56,mind,computer,memorize,write,,science
57,mind,computer,remember,read,,science
58,mind,computer,memory,memory,,science
59,mind,computer,muscles,outputs,,science
60,mind,computer,senses,inputs,,science
61,mind,computer,mistake,bug,,science
62,bacterial mutation,slot machine,bacteria,slot machines,,science
63,bacterial mutation,slot machine,genes,reels,,science
64,bacterial mutation,slot machine,mutating,spinning,,science
65,bacterial mutation,slot machine,reproducing,winning,,science
66,bacterial mutation,slot machine,dying,losing,,science
67,argument,war,debater,soldier,,metaphor
68,argument,war,refute,destroy,,metaphor
69,argument,war,arguing,fighting,,metaphor
70,argument,war,acceptance,defeat,,metaphor
71,argument,war,criticizes,attacks,,metaphor
72,argument,war,logic,weapon,,metaphor
73,accepting a belief,buying an item,believer,buyer,,metaphor
74,accepting a belief,buying an item,belief,merchandise,,metaphor
75,accepting a belief,buying an item,accepting,buying,,metaphor
76,accepting a belief,buying an item,advocating,selling,,metaphor
77,accepting a belief,buying an item,rejecting,returning,,metaphor
78,accepting a belief,buying an item,true,valuable,,metaphor
79,accepting a belief,buying an item,false,worthless,,metaphor
80,reasons for a theory,grounds for a building,reasons,foundations,,metaphor
81,reasons for a theory,grounds for a building,theories,buildings,,metaphor
82,reasons for a theory,grounds for a building,confirming,supporting,,metaphor
83,reasons for a theory,grounds for a building,rational,solid,,metaphor
84,reasons for a theory,grounds for a building,dubious,weak,,metaphor
85,reasons for a theory,grounds for a building,flaw,crack,,metaphor
86,difficulties,impediments to travel,difficulties,obstructions,,metaphor
87,difficulties,impediments to travel,goal,destination,,metaphor
88,difficulties,impediments to travel,plan,route,,metaphor
89,difficulties,impediments to travel,person,traveller,,metaphor
90,difficulties,impediments to travel,problem solving,travelling,,metaphor
91,difficulties,impediments to travel,partner,companion,,metaphor
92,difficulties,impediments to travel,succeeding,arriving,,metaphor
93,time,money,invest,allocate,,metaphor
94,time,money,schedule,budget,,metaphor
95,time,money,efficient,effective,,metaphor
96,time,money,quick,cheap,,metaphor
97,time,money,slow,expensive,,metaphor
98,ideas,seeds,inspired,planted,,metaphor
99,ideas,seeds,productive,fruitful,,metaphor
100,ideas,seeds,product,fruit,,metaphor
101,ideas,seeds,develop,grow,,metaphor
102,ideas,seeds,fail,wither,,metaphor
103,ideas,seeds,succeed,blossom,,metaphor
104,mind,machine,thinking,working,,metaphor
105,mind,machine,awake,turned on,,metaphor
106,mind,machine,asleep,turned off,,metaphor
107,mind,machine,confused,broken,,metaphor
108,mind,machine,intelligence,power,,metaphor
109,mind,machine,therapy,repair,,metaphor
110,idea,object,understand,hold,,metaphor
111,idea,object,analyze,weigh,,metaphor
112,idea,object,important,heavy,,metaphor
113,idea,object,trivial,light,,metaphor
114,understanding,following,understand,follow,,metaphor
115,understanding,following,speaker,leader,,metaphor
116,understanding,following,argument,path,,metaphor
117,understanding,following,listener,follower,,metaphor
118,understanding,following,misunderstood,lost,,metaphor
119,understanding,following,digresses,wanders,,metaphor
120,understanding,following,complicated,twisted,,metaphor
121,understanding,following,simple,straight,,metaphor
122,understanding,seeing,knowledge,light,,metaphor
123,understanding,seeing,explaining,illuminating,,metaphor
124,understanding,seeing,confusion,darkness,,metaphor
125,understanding,seeing,interpretation,view,,metaphor
