,target,source,targ_word,src_word,alternatives,analogy_type
0,accepting a belief,buying an item,ambition,hunger,,metaphor
1,accepting a belief,buying an item,argument,war,,metaphor
2,accepting a belief,buying an item,business,hunt,,metaphor
3,accepting a belief,buying an item,business,war,,metaphor
4,accepting a belief,buying an item,career,hill,,metaphor
5,accepting a belief,buying an item,career,journey,,metaphor
6,accepting a belief,buying an item,career,mountain,,metaphor
7,accepting a belief,buying an item,career,slope,,metaphor
8,accepting a belief,buying an item,competition,race,,metaphor
9,accepting a belief,buying an item,crime,beast,,metaphor
10,accepting a belief,buying an item,crime,disease,,metaphor
11,accepting a belief,buying an item,crime,virus,,metaphor
12,accepting a belief,buying an item,debate,battle,,metaphor
13,accepting a belief,buying an item,difficulties,impediments to travel,,metaphor
14,accepting a belief,buying an item,education,journey,,metaphor
15,accepting a belief,buying an item,faith,husbandry,,metaphor
16,accepting a belief,buying an item,family,building,,metaphor
17,accepting a belief,buying an item,government,household,,metaphor
18,accepting a belief,buying an item,idea,food,,metaphor
19,accepting a belief,buying an item,idea,object,,metaphor
20,accepting a belief,buying an item,ideas,seeds,,metaphor
21,accepting a belief,buying an item,illness,battle,,metaphor
22,accepting a belief,buying an item,illness,journey,,metaphor
23,accepting a belief,buying an item,innovation,bloom,,metaphor
24,accepting a belief,buying an item,innovation,blossom,,metaphor
25,accepting a belief,buying an item,innovation,flower,,metaphor
26,accepting a belief,buying an item,knowledge,liquid,,metaphor
27,accepting a belief,buying an item,life,theatre,,metaphor
28,accepting a belief,buying an item,love,commerce,,metaphor
29,accepting a belief,buying an item,love,journey,,metaphor
30,accepting a belief,buying an item,marriage,boat,,metaphor
31,accepting a belief,buying an item,marriage,game,,metaphor
32,accepting a belief,buying an item,mind,machine,,metaphor
33,accepting a belief,buying an item,money,liquid,,metaphor
34,accepting a belief,buying an item,money,weapon,,metaphor
35,accepting a belief,buying an item,nation,family,,metaphor
36,accepting a belief,buying an item,nation,ship,,metaphor
37,accepting a belief,buying an item,politics,courtship,,metaphor
38,accepting a belief,buying an item,politics,game,,metaphor
39,accepting a belief,buying an item,politics,machine,,metaphor
40,accepting a belief,buying an item,politics,theatre,,metaphor
41,accepting a belief,buying an item,poverty,disease,,metaphor
42,accepting a belief,buying an item,reasons for a theory,grounds for a building,,metaphor
43,accepting a belief,buying an item,research,hunt,,metaphor
44,accepting a belief,buying an item,skill,possession,,metaphor
45,accepting a belief,buying an item,society,organism,,metaphor
46,accepting a belief,buying an item,society,train,,metaphor
47,accepting a belief,buying an item,sport,war,,metaphor
48,accepting a belief,buying an item,state,family,,metaphor
49,accepting a belief,buying an item,theory,building,,metaphor
50,accepting a belief,buying an item,time,money,,metaphor
51,accepting a belief,buying an item,understanding,following,,metaphor
52,accepting a belief,buying an item,understanding,seeing,,metaphor
53,ambition,hunger,accepting a belief,buying an item,,metaphor
54,ambition,hunger,argument,war,,metaphor
55,ambition,hunger,business,hunt,,metaphor
56,ambition,hunger,business,war,,metaphor
57,ambition,hunger,career,hill,,metaphor
58,ambition,hunger,career,journey,,metaphor
59,ambition,hunger,career,mountain,,metaphor
60,ambition,hunger,career,slope,,metaphor
61,ambition,hunger,competition,race,,metaphor
62,ambition,hunger,crime,beast,,metaphor
63,ambition,hunger,crime,disease,,metaphor
64,ambition,hunger,crime,virus,,metaphor
65,ambition,hunger,debate,battle,,metaphor
66,ambition,hunger,difficulties,impediments to travel,,metaphor
67,ambition,hunger,education,journey,,metaphor
68,ambition,hunger,faith,husbandry,,metaphor
69,ambition,hunger,family,building,,metaphor
70,ambition,hunger,government,household,,metaphor
71,ambition,hunger,idea,food,,metaphor
72,ambition,hunger,idea,object,,metaphor
73,ambition,hunger,ideas,seeds,,metaphor
74,ambition,hunger,illness,battle,,metaphor
