,targ_word,src_word,target,source,alternatives,analogy_type
0,nucleus,sun,atom,solar system,,science
1,electron,planet,atom,solar system,,science
2,charge,mass,atom,solar system,,science
3,attracts,attracts,atom,solar system,,science
4,revolves,revolves,atom,solar system,,science
5,electromagnetism,gravity,atom,solar system,,science
6,transfers,flows,heat transfer,water flow,,science
7,temperature,pressure,heat transfer,water flow,,science
8,burner,water tower,heat transfer,water flow,,science
9,kettle,bucket,heat transfer,water flow,,science
10,heating,filling,heat transfer,water flow,,science
11,cooling,emptying,heat transfer,water flow,,science
12,thermodynamics,hydrodynamics,heat transfer,water flow,,science
13,wall,shore,sounds,waves,,science
14,echoes,reflects,sounds,waves,,science
15,air,water,sounds,waves,,science
16,insulation,breakwater,sounds,waves,,science
17,loud,rough,sounds,waves,,science
18,quiet,calm,sounds,waves,,science
19,vibrating,crashing,sounds,waves,,science
20,animal,fire,respiration,combustion,,science
21,food,fuel,respiration,combustion,,science
22,breathing,burning,respiration,combustion,,science
23,living,hot,respiration,combustion,,science
24,vigorous,intense,respiration,combustion,,science
25,oxygen,oxygen,respiration,combustion,,science
26,carbon dioxide,carbon dioxide,respiration,combustion,,science
27,red,low,light,sound,,science
28,violet,high,light,sound,,science
29,reflects,echoes,light,sound,,science
30,bright,loud,light,sound,,science
31,dim,quiet,light,sound,,science
32,lens,horn,light,sound,,science
33,orbit,trajectory,planet,projectile,,science
34,sun,earth,planet,projectile,,science
35,elliptical,parabolic,planet,projectile,,science
36,space,air,planet,projectile,,science
37,gravity,gravity,planet,projectile,,science
38,attracts,attracts,planet,projectile,,science
39,species,breeds,natural selection,artificial selection,,science
40,competition,selection,natural selection,artificial selection,,science
41,adaptation,conformance,natural selection,artificial selection,,science
42,natural,artificial,natural selection,artificial selection,,science
43,fitness,popularity,natural selection,artificial selection,,science
44,mating,breeding,natural selection,artificial selection,,science
45,wild,domesticated,natural selection,artificial selection,,science
46,molecules,balls,gas molecules,billiard balls,,science
47,gas,billiards,gas molecules,billiard balls,,science
48,temperature,speed,gas molecules,billiard balls,,science
49,container,table,gas molecules,billiard balls,,science
50,pressing,bouncing,gas molecules,billiard balls,,science
51,moving,moving,gas molecules,billiard balls,,science
52,cold,slow,gas molecules,billiard balls,,science
53,hot,fast,gas molecules,billiard balls,,science
54,thinking,processing,mind,computer,,science
55,forgetting,erasing,mind,computer,,science
