,Unnamed: 0,target,source,targ_word,src_word,alternatives,analogy_type
0,0,l m m n o p,l m n o p,h j j l n p r t v x,h j l n p r t v x,,letter_analogy_2gen_split1
1,1,o p q r u,o p q r s,i x k x x x o x q x,i x k x m x o x q x,,letter_analogy_2gen_split1
2,2,v w x y,v w x z,r p n l,r p n j,,letter_analogy_2gen_split1
3,3,j y l m n,j k l m n,s f o m k,s q o m k,,letter_analogy_2gen_split1
4,4,k l m n e,k l m n o,w w m m n n o o p p q q r r s s t t,l l m m n n o o p p q q r r s s t t,,letter_analogy_2gen_split1
5,5,m n o p,l n o p,7 8 9 10 11 12 13 14,6 8 9 10 11 12 13 14,,letter_analogy_2gen_split1
6,6,j k n m l,j k l m n,a a x x d d x x c c x x b b x x e e x x,a a x x b b x x c c x x d d x x e e x x,,letter_analogy_2gen_split1
7,7,o m n l p,l m n o p,j x k x p x m x n x o x l x q x r x,j x k x l x m x n x o x p x q x r x,,letter_analogy_2gen_split1
8,8,d e f g h h,d e f g h,t s r q p o n n m l,t s r q p o n m l,,letter_analogy_2gen_split1
9,9,c e d f g,c d e f g,18 0 15 0 16 0 17 0 14 0,14 0 15 0 16 0 17 0 18 0,,letter_analogy_2gen_split1
10,10,e f g h,e f g i,f f x x g g x x h h x x i i x x,f f x x g g x x h h x x j j x x,,letter_analogy_2gen_split1
11,11,i h g j k,g h i j k,b b g g d d e e f f c c h h i i j j,b b c c d d e e f f g g h h i i j j,,letter_analogy_2gen_split1
12,12,j k l m,j k l m n,j j i i h h g g,j j i i h h g g f f,,letter_analogy_2gen_split1
13,13,i j k l,h j k l,4 4 5 5 6 6 7 7,3 3 5 5 6 6 7 7,,letter_analogy_2gen_split1
14,14,t u y w x,t u v w x,p m k i g,o m k i g,,letter_analogy_2gen_split1
15,15,t u v w,s u v w,i k m o q s u w,g k m o q s u w,,letter_analogy_2gen_split1
16,16,u u v w x y,u v w x y,o o o o n n m m l l k k,o o n n m m l l k k,,letter_analogy_2gen_split1
17,17,g f e h i,e f g h i,i i l l k k j j m m,m m l l k k j j i i,,letter_analogy_2gen_split1
18,18,f g h e j,f g h i j,5 6 7 8 9 26 11 12 13,5 6 7 8 9 10 11 12 13,,letter_analogy_2gen_split1
19,19,j h l m n,j k l m n,h x w x j x k x l x m x n x o x p x,h x i x j x k x l x m x n x o x p x,,letter_analogy_2gen_split1
20,20,d e f g g h,d e f g h,f f g g h h i i i i j j k k l l m m n n,f f g g h h i i j j k k l l m m n n,,letter_analogy_2gen_split1
21,21,k l m n,j l m n,e x f x g x h x i x j x k x l x,d x f x g x h x i x j x k x l x,,letter_analogy_2gen_split1
22,22,c d e f,b d e f,j x i x h x g x,k x i x h x g x,,letter_analogy_2gen_split1
23,23,r u t s v,r s t u v,5 3 7 9 11,3 5 7 9 11,,letter_analogy_2gen_split1
24,24,h i j k,g i j k,l x k x j x i x,m x k x j x i x,,letter_analogy_2gen_split1
25,25,v w x y,u w x y,4 5 6 7 8 9 10 11,3 5 6 7 8 9 10 11,,letter_analogy_2gen_split1
26,26,b h d e f,b c d e f,10 0 11 0 15 0 13 0 14 0,10 0 11 0 12 0 13 0 14 0,,letter_analogy_2gen_split1
27,27,h c j k l,h i j k l,k x m x o x q x y x,k x m x o x q x s x,,letter_analogy_2gen_split1
28,28,s t u v,r t u v,l j h f,n j h f,,letter_analogy_2gen_split1
29,29,g k i j h,g h i j k,l l o o n n m m p p,p p o o n n m m l l,,letter_analogy_2gen_split1
30,30,r s t u,q s t u,i i h h g g f f,j j h h g g f f,,letter_analogy_2gen_split1
31,31,b c c d e f,b c d e f,4 0 4 0 5 0 6 0 7 0 8 0,4 0 5 0 6 0 7 0 8 0,,letter_analogy_2gen_split1
32,32,f g h b j,f g h i j,s x r x x x p x o x,s x r x q x p x o x,,letter_analogy_2gen_split1
33,33,h i j k s,h i j k l,r q p o n t l k j,r q p o n m l k j,,letter_analogy_2gen_split1
34,34,i i j k l m,i j k l m,k k x x k k x x l l x x m m x x n n x x o o x x,k k x x l l x x m m x x n n x x o o x x,,letter_analogy_2gen_split1
35,35,a b c d,a b c d e,3 5 7 9,3 5 7 9 11,,letter_analogy_2gen_split1
